"Image Location"|"Image Tag"|"Algorithm Name"|"Start Time"|"Job Id"|"Analysis Region"|"Analysis Inputs"|"TH1 Count"|"ILC1 Count"|"TH1 within 50μm of ILC1"|"% TH1 within 50μm of ILC1"|"Average Distance (μm) to ILC1"|"Number of Unique ILC1"|"Average number of TH1 within 50μm of ILC1"|"TH1 within 0-5μm of ILC1"|"TH1 within 5-10μm of ILC1"|"TH1 within 10-15μm of ILC1"|"TH1 within 15-20μm of ILC1"|"TH1 within 20-25μm of ILC1"|"TH1 within 25-30μm of ILC1"|"TH1 within 30-35μm of ILC1"|"TH1 within 35-40μm of ILC1"|"TH1 within 40-45μm of ILC1"|"TH1 within 45-50μm of ILC1"|"TH2 Count"|"TH2 within 50μm of ILC1"|"% TH2 within 50μm of ILC1"|"Average number of TH2 within 50μm of ILC1"|"TH2 within 0-5μm of ILC1"|"TH2 within 5-10μm of ILC1"|"TH2 within 10-15μm of ILC1"|"TH2 within 15-20μm of ILC1"|"TH2 within 20-25μm of ILC1"|"TH2 within 25-30μm of ILC1"|"TH2 within 30-35μm of ILC1"|"TH2 within 35-40μm of ILC1"|"TH2 within 40-45μm of ILC1"|"TH2 within 45-50μm of ILC1"|"TH17 Count"|"TH17 within 50μm of ILC1"|"% TH17 within 50μm of ILC1"|"Average number of TH17 within 50μm of ILC1"|"TH17 within 0-5μm of ILC1"|"TH17 within 5-10μm of ILC1"|"TH17 within 10-15μm of ILC1"|"TH17 within 15-20μm of ILC1"|"TH17 within 20-25μm of ILC1"|"TH17 within 25-30μm of ILC1"|"TH17 within 30-35μm of ILC1"|"TH17 within 35-40μm of ILC1"|"TH17 within 40-45μm of ILC1"|"TH17 within 45-50μm of ILC1"|"ILC2 Count"|"TH1 within 50μm of ILC2"|"% TH1 within 50μm of ILC2"|"Average Distance (μm) to ILC2"|"Number of Unique ILC2"|"Average number of TH1 within 50μm of ILC2"|"TH1 within 0-5μm of ILC2"|"TH1 within 5-10μm of ILC2"|"TH1 within 10-15μm of ILC2"|"TH1 within 15-20μm of ILC2"|"TH1 within 20-25μm of ILC2"|"TH1 within 25-30μm of ILC2"|"TH1 within 30-35μm of ILC2"|"TH1 within 35-40μm of ILC2"|"TH1 within 40-45μm of ILC2"|"TH1 within 45-50μm of ILC2"|"TH2 within 50μm of ILC2"|"% TH2 within 50μm of ILC2"|"Average number of TH2 within 50μm of ILC2"|"TH2 within 0-5μm of ILC2"|"TH2 within 5-10μm of ILC2"|"TH2 within 10-15μm of ILC2"|"TH2 within 15-20μm of ILC2"|"TH2 within 20-25μm of ILC2"|"TH2 within 25-30μm of ILC2"|"TH2 within 30-35μm of ILC2"|"TH2 within 35-40μm of ILC2"|"TH2 within 40-45μm of ILC2"|"TH2 within 45-50μm of ILC2"|"TH17 within 50μm of ILC2"|"% TH17 within 50μm of ILC2"|"Average number of TH17 within 50μm of ILC2"|"TH17 within 0-5μm of ILC2"|"TH17 within 5-10μm of ILC2"|"TH17 within 10-15μm of ILC2"|"TH17 within 15-20μm of ILC2"|"TH17 within 20-25μm of ILC2"|"TH17 within 25-30μm of ILC2"|"TH17 within 30-35μm of ILC2"|"TH17 within 35-40μm of ILC2"|"TH17 within 40-45μm of ILC2"|"TH17 within 45-50μm of ILC2"|"ILC3 Count"|"TH1 within 50μm of ILC3"|"% TH1 within 50μm of ILC3"|"Average Distance (μm) to ILC3"|"Number of Unique ILC3"|"Average number of TH1 within 50μm of ILC3"|"TH1 within 0-5μm of ILC3"|"TH1 within 5-10μm of ILC3"|"TH1 within 10-15μm of ILC3"|"TH1 within 15-20μm of ILC3"|"TH1 within 20-25μm of ILC3"|"TH1 within 25-30μm of ILC3"|"TH1 within 30-35μm of ILC3"|"TH1 within 35-40μm of ILC3"|"TH1 within 40-45μm of ILC3"|"TH1 within 45-50μm of ILC3"|"TH2 within 50μm of ILC3"|"% TH2 within 50μm of ILC3"|"Average number of TH2 within 50μm of ILC3"|"TH2 within 0-5μm of ILC3"|"TH2 within 5-10μm of ILC3"|"TH2 within 10-15μm of ILC3"|"TH2 within 15-20μm of ILC3"|"TH2 within 20-25μm of ILC3"|"TH2 within 25-30μm of ILC3"|"TH2 within 30-35μm of ILC3"|"TH2 within 35-40μm of ILC3"|"TH2 within 40-45μm of ILC3"|"TH2 within 45-50μm of ILC3"|"TH17 within 50μm of ILC3"|"% TH17 within 50μm of ILC3"|"Average number of TH17 within 50μm of ILC3"|"TH17 within 0-5μm of ILC3"|"TH17 within 5-10μm of ILC3"|"TH17 within 10-15μm of ILC3"|"TH17 within 15-20μm of ILC3"|"TH17 within 20-25μm of ILC3"|"TH17 within 25-30μm of ILC3"|"TH17 within 30-35μm of ILC3"|"TH17 within 35-40μm of ILC3"|"TH17 within 40-45μm of ILC3"|"TH17 within 45-50μm of ILC3"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunSG\168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"Proximity Analysis ILC1 & TH1"|"21/01/2025 19:15:04"|"99821"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"76"|"3490"|"63"|"82,89"|"32,41"|"75"|"0,84"|"4"|"11"|"8"|"10"|"8"|"6"|"6"|"3"|"4"|"3"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunSG\168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"Proximity Analysis ILC1 & TH2"|"21/01/2025 19:20:03"|"99822"|"Layer 1"|"Proximity Analysis ILC1 & TH2:;Population:TH2;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"3490"|||"41,88"|"2733"||||||||||||"16270"|"11506"|"70,72"|"4,210026"|"269"|"825"|"1170"|"1428"|"1546"|"1511"|"1398"|"1274"|"1122"|"963"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunSG\168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"Proximity Analysis ILC1 & TH17"|"21/01/2025 19:21:19"|"99823"|"Layer 1"|"Proximity Analysis ILC1 & TH17:;Population:TH17;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"3490"|||"37,59"|"161"||||||||||||||||||||||||||"184"|"136"|"73,91"|"0,8447205"|"4"|"20"|"17"|"18"|"16"|"22"|"13"|"9"|"9"|"8"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunSG\168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"Proximity Analysis ILC2 & TH1"|"21/01/2025 19:22:23"|"99824"|"Layer 1"|"Proximity Analysis ILC2 & TH1:;Population:TH1;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"76"|||||||||||||||||||||||||||||||||||||||||||||"15341"|"71"|"93,42"|"22,25"|"76"|"0,93421054"|"9"|"13"|"14"|"13"|"7"|"5"|"6"|"1"|"2"|"1"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunSG\168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"Proximity Analysis ILC2 & TH2"|"21/01/2025 19:34:06"|"99825"|"Layer 1"|"Proximity Analysis ILC2 & TH2:;Population:TH2;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"16270"||||||||||||||||||||||||||||"15341"|||"16,87"|"8298"||||||||||||"15549"|"95,57"|"1,8738251"|"665"|"7131"|"3156"|"1764"|"1097"|"679"|"432"|"272"|"201"|"152"|||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunSG\168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"Proximity Analysis ILC2 & TH17"|"21/01/2025 19:35:54"|"99826"|"Layer 1"|"Proximity Analysis ILC2 & TH17:;Population:TH17;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"184"||||||||||||||"15341"|||"23,43"|"167"|||||||||||||||||||||||||"172"|"93,48"|"1,0299401"|"19"|"38"|"32"|"30"|"15"|"12"|"14"|"5"|"2"|"5"||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunSG\168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"Proximity Analysis ILC3 & TH1"|"21/01/2025 19:37:12"|"99827"|"Layer 1"|"Proximity Analysis ILC3 & TH1:;Population:TH1;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"76"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"1194"|"33"|"43,42"|"70,87"|"67"|"0,49253732"|"1"|"1"|"3"|"2"|"6"|"4"|"5"|"4"|"3"|"4"||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunSG\168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"Proximity Analysis ILC3 & TH2"|"21/01/2025 19:44:44"|"99828"|"Layer 1"|"Proximity Analysis ILC3 & TH2:;Population:TH2;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"16270"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"1194"|||"93,98"|"987"||||||||||||"4820"|"29,63"|"4,8834853"|"79"|"230"|"352"|"472"|"524"|"584"|"651"|"643"|"682"|"603"|||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunSG\168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"168977_NVA_17-001.ILC1.RunSG_21T000410.06.czi"|"Proximity Analysis ILC3 & TH17"|"21/01/2025 19:45:56"|"99829"|"Layer 1"|"Proximity Analysis ILC3 & TH17:;Population:TH17;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"184"||||||||||||||||||||||||||||||||||||||||||||||||||||||||"1194"|||"47,71"|"157"|||||||||||||||||||||||||"119"|"64,67"|"0,7579618"|"10"|"25"|"11"|"14"|"10"|"9"|"13"|"12"|"10"|"5"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunSG\168978_NVA_17-001.ILC1.RunSG_21T000411.10.czi"|"168978_NVA_17-001.ILC1.RunSG_21T000411.10.czi"|"Proximity Analysis ILC1 & TH1"|"21/01/2025 18:32:58"|"99809"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"183"|"1017"|"73"|"39,89"|"70,83"|"157"|"0,46496814"|"1"|"6"|"9"|"11"|"6"|"5"|"10"|"14"|"1"|"10"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
