Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
168981_NVA_17-001.ILC2.RunSG_21T000195.21.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,10350878,157412,19443,25174,60623,16660,22391,38892,2802,57821,20420,40203,,,,,,,,25081,11658,2310,2841,,,,,12.351664,15.992428,38.51231,10.583692,14.224456,24.707138,1.780042,36.732269,12.972327,25.539984,,,,,,,,15.933347,7.406043,1.467487,1.804818,,,,,,5.939524838,,1609.525298,2163.198136,3757.362419,,,,223.1694741,274.4694701,,
168982_NVA_17-001.ILC2.RunSG_21T000198.09.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,23679358,287271,60331,123644,150028,33904,97217,37400,21930,128098,109004,41024,,,,,,,,80329,25672,796,13812,,,,,21.001423,43.040894,52.22525,11.802096,33.841564,13.019066,7.633907,44.591343,37.94466,14.280592,,,,,,,,27.962795,8.936509,0.27709,4.808003,,,,,,2.128342246,,1431.795575,4105.558943,1579.434713,,,,33.61577624,583.292841,,
168983_NVA_17-001.ILC2.RunSG_21T000204.04.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,4942437.5,75251,6437,15286,38891,5263,14112,23580,1845,37046,14373,24518,,,,,,,,32133,4655,1692,1804,,,,,8.554039,20.313351,51.681705,6.993927,18.753239,31.335133,2.451795,49.229912,19.100079,32.581627,,,,,,,,42.701092,6.185964,2.248475,2.39731,,,,,,7.175572519,,1064.859191,2855.271311,4770.925277,,,,342.3412031,365.0020865,,
168984_NVA_17-001.ILC2.RunSG_21T000239.07.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,30366368,387620,25243,48067,124503,19615,42439,80162,5653,118850,42197,82306,,,,,,,,61857,14593,2891,5553,,,,,6.512306,12.400547,32.119858,5.060369,10.948609,20.680563,1.458387,30.661472,10.886177,21.233683,,,,,,,,15.958155,3.76477,0.745834,1.432589,,,,,,3.606446945,,645.9448822,1397.565886,2639.828379,,,,95.20400991,182.8667821,,
168985_NVA_17-001.ILC2.RunSG_21T000410.06.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,29798724,426613,54679,87625,199099,48360,81306,122324,5089,194010,74157,124942,,,,,,,,146389,45588,15199,15953,,,,,12.817002,20.539694,46.669697,11.335801,19.058491,28.673294,1.192884,45.476814,17.382732,29.286964,,,,,,,,34.31424,10.686031,3.562714,3.739455,,,,,,12.42519865,,1622.888282,2728.506093,4105.007986,,,,510.055397,535.3584939,,
168986_NVA_17-001.ILC2.RunSG_21T000411.10.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,27307140,394474,66655,197801,220866,44624,175770,37953,18827,202039,179583,41283,,,,,,,,163329,48355,1667,35665,,,,,16.897184,50.142975,55.990002,11.312279,44.558071,9.621166,4.772685,51.217316,45.524673,10.465328,,,,,,,,41.404251,12.258096,0.422588,9.041154,,,,,,4.392274655,,1634.151361,6436.778073,1389.856279,,,,61.04630511,1306.068669,,
168987_NVA_17-001.ILC3.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,25634998,340826,36223,58720,162208,32441,54938,107654,5062,157146,51609,110599,,,,,,,,,,,,7006,93963,1907,942,10.628004,17.228733,47.592613,9.518347,16.119076,31.586205,1.485215,46.107399,15.142331,32.450283,,,,,,,,,,,,2.055594,27.569199,0.559523,0.276387,,,1.771415832,1265.49649,2143.085792,4199.493208,,,,,,74.39048757,36.74663833
168988_NVA_17-001.ILC3.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,11197260,129724,19932,27219,41604,14772,22059,17774,5086,36518,22018,19586,,,,,,,,,,,,7375,34879,1684,1092,15.364928,20.982239,32.071167,11.387253,17.004564,13.701397,3.920631,28.150536,16.972958,15.098208,,,,,,,,,,,,5.685147,26.887083,1.298141,0.841787,,,9.474513334,1319.251317,1970.035527,1587.35262,,,,,,150.3939357,97.52385852
168989_NVA_17-001.ILC3.RunSG_21T000195.21.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,10233742,157127,27574,11393,40688,24759,8578,33060,1832,38856,6625,34063,,,,,,,,,,,,1142,47511,341,69,17.548862,7.250823,25.894978,15.757318,5.459278,21.040304,1.165936,24.72904,4.216334,21.678642,,,,,,,,,,,,0.726801,30.237324,0.217022,0.043914,,,1.031457955,2419.349638,838.2075686,3230.489883,,,,,,33.32114489,6.742401753
168990_NVA_17-001.ILC3.RunSG_21T000198.09.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,23427186,287324,74676,114703,137057,44517,84544,36914,22901,114156,95889,41168,,,,,,,,,,,,8002,151336,1534,2813,25.990171,39.921135,47.701202,15.493659,29.424622,12.847517,7.970445,39.730759,33.373127,14.328075,,,,,,,,,,,,2.785009,52.670853,0.533892,0.979034,,,4.15560492,1900.228222,3608.798769,1575.690738,,,,,,65.47948183,120.0741737
168991_NVA_17-001.ILC3.RunSG_21T000204.04.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,5146605.5,77036,9560,16769,42132,8251,15460,25294,2065,40067,15724,26408,,,,,,,,,,,,3341,26866,1084,663,12.409782,21.767744,54.691315,10.710577,20.068539,32.834,2.680565,52.01075,20.411236,34.280075,,,,,,,,,,,,4.336934,34.874603,1.407134,0.860637,,,4.285601328,1603.192629,3003.921711,4914.695715,,,,,,210.6242649,128.8227745
168992_NVA_17-001.ILC3.RunSG_21T000239.07.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,30913884,397171,34036,53090,124741,23389,42443,78692,8023,116718,43897,80844,,,,,,,,,,,,11762,82859,1946,1227,8.569609,13.367039,31.407379,5.888899,10.686329,19.813128,2.020037,29.387342,11.052418,20.354961,,,,,,,,,,,,2.961445,20.862299,0.489965,0.308935,,,2.472932445,756.585617,1372.942979,2545.522911,,,,,,62.94906198,39.69090393
168993_NVA_17-001.ILC3.RunSG_21T000410.06.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,28909060,416980,32467,34101,169561,28892,30526,140882,2748,166813,27084,142477,,,,,,,,,,,,7343,28858,1192,183,7.786225,8.17809,40.664063,6.92887,7.320735,33.786274,0.659024,40.005035,6.495275,34.168785,,,,,,,,,,,,1.760996,6.920716,0.285865,0.043887,,,0.846098153,999.4098736,1055.931947,4873.28194,,,,,,41.23274849,6.330195447
168994_NVA_17-001.ILC3.RunSG_21T000411.10.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,26586820,378172,49387,147355,178465,35071,133039,48085,11085,167380,128072,50393,,,,,,,,,,,,4380,134133,973,1217,13.059402,38.965073,47.19149,9.273823,35.179497,12.715114,2.931206,44.260284,33.86607,13.325418,,,,,,,,,,,,1.158203,35.468781,0.25729,0.321811,,,2.023500052,1319.112252,5003.945564,1808.602909,,,,,,36.59708081,45.77456048
