Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
168981_NVA_17-001.ILC2.RunSG_21T000195.21.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,492783.1875,7450,1887,526,135,1711,350,68,21,114,53,82,,,,,,,,705,1816,22,130,,,,,25.328859,7.060403,1.812081,22.966442,4.697987,0.912752,0.281879,1.530201,0.711409,1.100671,,,,,,,,9.463087,24.375839,0.295302,1.744966,,,,,,32.35294118,,3472.115209,710.2515039,137.9917208,,,,44.64438024,263.8077014,,
168982_NVA_17-001.ILC2.RunSG_21T000198.09.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,675756.875,9015,4918,3428,1340,3303,1813,93,448,892,1215,125,,,,,,,,2323,2816,18,810,,,,,54.55352,38.025513,14.864116,36.638935,20.110926,1.031614,4.969495,9.89462,13.477537,1.386578,,,,,,,,25.768164,31.236828,0.199667,8.985025,,,,,,19.35483871,,4887.852602,2682.91758,137.6234611,,,,26.63679892,1198.655952,,
168983_NVA_17-001.ILC2.RunSG_21T000204.04.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,26706.22461,387,122,14,14,115,7,9,3,11,3,11,,,,,,,,32,30,1,4,,,,,31.524548,3.617571,3.617571,29.715763,1.808786,2.325581,0.775194,2.842377,0.775194,2.842377,,,,,,,,8.268734,7.751938,0.258398,1.033592,,,,,,11.11111111,,4306.112215,262.1111783,337.0000864,,,,37.44445404,149.7778162,,
168984_NVA_17-001.ILC2.RunSG_21T000239.07.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,422038.8438,5789,1882,950,1162,1624,692,500,108,1054,636,526,,,,,,,,1232,1140,56,264,,,,,32.509933,16.410433,20.072552,28.053204,11.953705,8.637071,1.865607,18.206944,10.986354,9.086198,,,,,,,,21.281742,19.69252,0.967352,4.560373,,,,,,11.2,,3847.987037,1639.659501,1184.725073,,,,132.6892082,625.5348386,,
168985_NVA_17-001.ILC2.RunSG_21T000410.06.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,701869.4375,10668,4945,1564,1202,4064,683,411,357,845,669,533,,,,,,,,2085,2959,143,318,,,,,46.35358,14.660667,11.267342,38.095238,6.402325,3.852643,3.346457,7.920885,6.271091,4.996251,,,,,,,,19.544432,27.737158,1.340457,2.980877,,,,,,34.79318735,,5790.250697,973.1154592,585.5789952,,,,203.7415969,453.0757189,,
168986_NVA_17-001.ILC2.RunSG_21T000411.10.czi,HighPlex FL v4.2.5_ILC2-Default,GerminalCenter,1014017,14471,6257,2697,965,5042,1482,196,261,704,713,252,,,,,,,,2810,4540,78,991,,,,,43.238201,18.637274,6.668509,34.842098,10.241172,1.354433,1.803607,4.864902,4.927095,1.741414,,,,,,,,19.418146,31.373091,0.539009,6.848179,,,,,,39.79591837,,4972.303226,1461.513959,193.290645,,,,76.92178731,977.3011695,,
168987_NVA_17-001.ILC3.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,318512.9375,4573,2505,456,46,2186,137,29,10,36,11,35,,,,,,,,,,,,10,2773,0,1,54.778046,9.971572,1.005904,47.802319,2.995845,0.634157,0.218675,0.787229,0.240542,0.765362,,,,,,,,,,,,0.218675,60.638531,0,0.021867,,,0,6863.14351,430.1238156,91.04810695,,,,,,0,3.139589895
168988_NVA_17-001.ILC3.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,56332.66406,823,312,268,324,240,196,84,70,254,214,110,,,,,,,,,,,,30,127,6,3,37.910084,32.563789,39.368164,29.161604,23.81531,10.206561,8.505467,30.862698,26.00243,13.365735,,,,,,,,,,,,3.6452,15.431349,0.72904,0.36452,,,7.142857143,4260.405645,3479.331277,1491.141976,,,,,,106.5101411,53.25507057
168989_NVA_17-001.ILC3.RunSG_21T000195.21.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,490426.5938,7887,3288,243,62,3154,109,42,14,48,10,52,,,,,,,,,,,,12,1941,1,0,41.688854,3.081019,0.786104,39.989857,1.382021,0.532522,0.177507,0.608596,0.126791,0.659313,,,,,,,,,,,,0.152149,24.610119,0.012679,0,,,2.380952381,6431.13575,222.2554841,85.63972781,,,,,,2.039041138,0
168990_NVA_17-001.ILC3.RunSG_21T000198.09.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,668860.9375,9053,5525,2793,1761,4196,1464,278,276,1485,1449,312,,,,,,,,,,,,92,6854,6,29,61.029491,30.851652,19.452116,46.349277,16.171434,3.070805,3.048713,16.403402,16.005743,3.446371,,,,,,,,,,,,1.016238,75.709709,0.066276,0.320336,,,2.158273381,6273.351851,2188.795784,415.6319863,,,,,,8.970474524,43.35729353
168991_NVA_17-001.ILC3.RunSG_21T000204.04.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,26840.36914,392,184,23,4,170,9,2,0,4,2,2,,,,,,,,,,,,3,184,0,1,46.938774,5.867347,1.020408,43.367348,2.295918,0.510204,0,1.020408,0.510204,0.510204,,,,,,,,,,,,0.765306,46.938774,0,0.255102,,,0,6333.742994,335.3158056,74.51462346,,,,,,0,37.25731173
168992_NVA_17-001.ILC3.RunSG_21T000239.07.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,422893.4375,5812,2675,998,885,2136,459,517,39,846,360,525,,,,,,,,,,,,60,2318,1,3,46.025463,17.17137,15.227117,36.751549,7.897453,8.895389,0.671025,14.556091,6.194081,9.033035,,,,,,,,,,,,1.032347,39.882999,0.017206,0.051617,,,0.193423598,5050.917821,1085.379813,1222.530203,,,,,,2.364661901,7.093985704
168993_NVA_17-001.ILC3.RunSG_21T000410.06.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,681160.4375,10425,3572,806,774,3185,419,499,65,709,244,530,,,,,,,,,,,,46,2309,2,1,34.26379,7.731415,7.42446,30.551559,4.019185,4.786571,0.623501,6.800959,2.340528,5.083933,,,,,,,,,,,,0.441247,22.148682,0.019185,0.009592,,,0.400801603,4675.844081,615.126741,732.5733741,,,,,,2.936165828,1.468082914
168994_NVA_17-001.ILC3.RunSG_21T000411.10.czi,HighPlex FL v4.2.5_ILC3-Default,GerminalCenter,983703.5625,14197,5386,1980,419,4561,1155,153,54,365,246,173,,,,,,,,,,,,165,7495,13,9,37.937592,13.946609,2.951328,32.126507,8.135522,1.077693,0.380362,2.570966,1.73276,1.218567,,,,,,,,,,,,1.162217,52.792843,0.091569,0.063394,,,8.496732026,4636.5594,1174.134205,155.5346609,,,,,,13.21536334,9.149097699
