"Image Location"|"Image Tag"|"Algorithm Name"|"Start Time"|"Job Id"|"Analysis Region"|"Analysis Inputs"|"TH1 Count"|"ILC1 Count"|"TH1 within 50μm of ILC1"|"% TH1 within 50μm of ILC1"|"Average Distance (μm) to ILC1"|"Number of Unique ILC1"|"Average number of TH1 within 50μm of ILC1"|"TH1 within 0-5μm of ILC1"|"TH1 within 5-10μm of ILC1"|"TH1 within 10-15μm of ILC1"|"TH1 within 15-20μm of ILC1"|"TH1 within 20-25μm of ILC1"|"TH1 within 25-30μm of ILC1"|"TH1 within 30-35μm of ILC1"|"TH1 within 35-40μm of ILC1"|"TH1 within 40-45μm of ILC1"|"TH1 within 45-50μm of ILC1"|"TH2 Count"|"TH2 within 50μm of ILC1"|"% TH2 within 50μm of ILC1"|"Average number of TH2 within 50μm of ILC1"|"TH2 within 0-5μm of ILC1"|"TH2 within 5-10μm of ILC1"|"TH2 within 10-15μm of ILC1"|"TH2 within 15-20μm of ILC1"|"TH2 within 20-25μm of ILC1"|"TH2 within 25-30μm of ILC1"|"TH2 within 30-35μm of ILC1"|"TH2 within 35-40μm of ILC1"|"TH2 within 40-45μm of ILC1"|"TH2 within 45-50μm of ILC1"|"TH17 Count"|"TH17 within 50μm of ILC1"|"% TH17 within 50μm of ILC1"|"Average number of TH17 within 50μm of ILC1"|"TH17 within 0-5μm of ILC1"|"TH17 within 5-10μm of ILC1"|"TH17 within 10-15μm of ILC1"|"TH17 within 15-20μm of ILC1"|"TH17 within 20-25μm of ILC1"|"TH17 within 25-30μm of ILC1"|"TH17 within 30-35μm of ILC1"|"TH17 within 35-40μm of ILC1"|"TH17 within 40-45μm of ILC1"|"TH17 within 45-50μm of ILC1"|"ILC2 Count"|"TH1 within 50μm of ILC2"|"% TH1 within 50μm of ILC2"|"Average Distance (μm) to ILC2"|"Number of Unique ILC2"|"Average number of TH1 within 50μm of ILC2"|"TH1 within 0-5μm of ILC2"|"TH1 within 5-10μm of ILC2"|"TH1 within 10-15μm of ILC2"|"TH1 within 15-20μm of ILC2"|"TH1 within 20-25μm of ILC2"|"TH1 within 25-30μm of ILC2"|"TH1 within 30-35μm of ILC2"|"TH1 within 35-40μm of ILC2"|"TH1 within 40-45μm of ILC2"|"TH1 within 45-50μm of ILC2"|"TH2 within 50μm of ILC2"|"% TH2 within 50μm of ILC2"|"Average number of TH2 within 50μm of ILC2"|"TH2 within 0-5μm of ILC2"|"TH2 within 5-10μm of ILC2"|"TH2 within 10-15μm of ILC2"|"TH2 within 15-20μm of ILC2"|"TH2 within 20-25μm of ILC2"|"TH2 within 25-30μm of ILC2"|"TH2 within 30-35μm of ILC2"|"TH2 within 35-40μm of ILC2"|"TH2 within 40-45μm of ILC2"|"TH2 within 45-50μm of ILC2"|"TH17 within 50μm of ILC2"|"% TH17 within 50μm of ILC2"|"Average number of TH17 within 50μm of ILC2"|"TH17 within 0-5μm of ILC2"|"TH17 within 5-10μm of ILC2"|"TH17 within 10-15μm of ILC2"|"TH17 within 15-20μm of ILC2"|"TH17 within 20-25μm of ILC2"|"TH17 within 25-30μm of ILC2"|"TH17 within 30-35μm of ILC2"|"TH17 within 35-40μm of ILC2"|"TH17 within 40-45μm of ILC2"|"TH17 within 45-50μm of ILC2"|"ILC3 Count"|"TH1 within 50μm of ILC3"|"% TH1 within 50μm of ILC3"|"Average Distance (μm) to ILC3"|"Number of Unique ILC3"|"Average number of TH1 within 50μm of ILC3"|"TH1 within 0-5μm of ILC3"|"TH1 within 5-10μm of ILC3"|"TH1 within 10-15μm of ILC3"|"TH1 within 15-20μm of ILC3"|"TH1 within 20-25μm of ILC3"|"TH1 within 25-30μm of ILC3"|"TH1 within 30-35μm of ILC3"|"TH1 within 35-40μm of ILC3"|"TH1 within 40-45μm of ILC3"|"TH1 within 45-50μm of ILC3"|"TH2 within 50μm of ILC3"|"% TH2 within 50μm of ILC3"|"Average number of TH2 within 50μm of ILC3"|"TH2 within 0-5μm of ILC3"|"TH2 within 5-10μm of ILC3"|"TH2 within 10-15μm of ILC3"|"TH2 within 15-20μm of ILC3"|"TH2 within 20-25μm of ILC3"|"TH2 within 25-30μm of ILC3"|"TH2 within 30-35μm of ILC3"|"TH2 within 35-40μm of ILC3"|"TH2 within 40-45μm of ILC3"|"TH2 within 45-50μm of ILC3"|"TH17 within 50μm of ILC3"|"% TH17 within 50μm of ILC3"|"Average number of TH17 within 50μm of ILC3"|"TH17 within 0-5μm of ILC3"|"TH17 within 5-10μm of ILC3"|"TH17 within 10-15μm of ILC3"|"TH17 within 15-20μm of ILC3"|"TH17 within 20-25μm of ILC3"|"TH17 within 25-30μm of ILC3"|"TH17 within 30-35μm of ILC3"|"TH17 within 35-40μm of ILC3"|"TH17 within 40-45μm of ILC3"|"TH17 within 45-50μm of ILC3"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi"|"169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi"|"Proximity Analysis ILC1 & TH17"|"21/01/2025 16:49:43"|"99719"|"Layer 1"|"Proximity Analysis ILC1 & TH17:;Population:TH17;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"9244"|||"44,1"|"1603"||||||||||||||||||||||||||"3383"|"2265"|"66,95"|"1,4129757"|"72"|"175"|"235"|"279"|"294"|"300"|"268"|"220"|"218"|"204"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi"|"169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi"|"Proximity Analysis ILC2 & TH1"|"21/01/2025 16:51:28"|"99722"|"Layer 1"|"Proximity Analysis ILC2 & TH1:;Population:TH1;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"4414"|||||||||||||||||||||||||||||||||||||||||||||"1738"|"2175"|"49,28"|"66,9"|"1166"|"1,8653517"|"35"|"120"|"227"|"256"|"268"|"270"|"245"|"256"|"264"|"234"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi"|"169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi"|"Proximity Analysis ILC2 & TH2"|"21/01/2025 16:53:22"|"99724"|"Layer 1"|"Proximity Analysis ILC2 & TH2:;Population:TH2;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"49801"||||||||||||||||||||||||||||"1738"|||"81,98"|"1656"||||||||||||"20402"|"40,97"|"12,320048"|"133"|"1646"|"1752"|"2148"|"2345"|"2491"|"2523"|"2554"|"2463"|"2347"|||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi"|"169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi"|"Proximity Analysis ILC2 & TH17"|"21/01/2025 16:54:41"|"99726"|"Layer 1"|"Proximity Analysis ILC2 & TH17:;Population:TH17;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"3383"||||||||||||||"1738"|||"82,42"|"939"|||||||||||||||||||||||||"1418"|"41,92"|"1,5101172"|"30"|"77"|"125"|"151"|"181"|"190"|"179"|"164"|"145"|"176"||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi"|"169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi"|"Proximity Analysis ILC3 & TH1"|"21/01/2025 16:56:35"|"99728"|"Layer 1"|"Proximity Analysis ILC3 & TH1:;Population:TH1;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"4414"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"3862"|"2011"|"45,56"|"63,55"|"1334"|"1,5074962"|"56"|"108"|"175"|"207"|"236"|"233"|"245"|"269"|"256"|"226"||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi"|"169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi"|"Proximity Analysis ILC3 & TH2"|"21/01/2025 16:57:59"|"99729"|"Layer 1"|"Proximity Analysis ILC3 & TH2:;Population:TH2;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"49801"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"3862"|||"77,46"|"2244"||||||||||||"16923"|"33,98"|"7,541444"|"263"|"755"|"1284"|"1613"|"1834"|"2099"|"2208"|"2249"|"2277"|"2341"|||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi"|"169510_NVA_17-001.ILC1.RunDA_19T061175.02.czi"|"Proximity Analysis ILC3 & TH17"|"21/01/2025 16:59:30"|"99730"|"Layer 1"|"Proximity Analysis ILC3 & TH17:;Population:TH17;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"3383"||||||||||||||||||||||||||||||||||||||||||||||||||||||||"3862"|||"50,42"|"1349"|||||||||||||||||||||||||"2053"|"60,69"|"1,5218681"|"43"|"416"|"186"|"169"|"235"|"231"|"215"|"202"|"179"|"177"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169511_NVA_17-001.ILC1.RunDA_19T031219.21.czi"|"169511_NVA_17-001.ILC1.RunDA_19T031219.21.czi"|"Proximity Analysis ILC1 & TH1"|"21/01/2025 16:35:44"|"99702"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"35"|"870"|"11"|"31,43"|"69,41"|"25"|"0,44"|"0"|"0"|"1"|"1"|"0"|"2"|"2"|"0"|"2"|"3"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169511_NVA_17-001.ILC1.RunDA_19T031219.21.czi"|"169511_NVA_17-001.ILC1.RunDA_19T031219.21.czi"|"Proximity Analysis ILC1 & TH2"|"21/01/2025 16:36:12"|"99704"|"Layer 1"|"Proximity Analysis ILC1 & TH2:;Population:TH2;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"870"|||"83,41"|"270"||||||||||||"1364"|"413"|"30,28"|"1,5296296"|"11"|"19"|"35"|"42"|"45"|"54"|"60"|"54"|"47"|"46"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunDA\169511_NVA_17-001.ILC1.RunDA_19T031219.21.czi"|"169511_NVA_17-001.ILC1.RunDA_19T031219.21.czi"|"Proximity Analysis ILC1 & TH17"|"21/01/2025 16:36:53"|"99706"|"Layer 1"|"Proximity Analysis ILC1 & TH17:;Population:TH17;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"870"|||"66,44"|"184"||||||||||||||||||||||||||"356"|"157"|"44,1"|"0,8532609"|"3"|"13"|"15"|"21"|"14"|"22"|"16"|"19"|"24"|"10"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
