Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
169518_NVA_17-001.ILC2.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,43063900,514416,42609,201224,205539,23906,182521,32990,11120,194419,171540,33999,,,,,,,,113449,83959,1601,47022,,,,,8.282985,39.116978,39.955795,4.647212,35.481205,6.413097,2.161674,37.794121,33.346554,6.609242,,,,,,,,22.053942,16.321226,0.311227,9.140851,,,,,,4.852985753,,555.1285415,4238.375995,766.0708854,,,,37.17731093,1091.912251,,
169519_NVA_17-001.ILC2.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,20554342,153665,14942,20737,38816,9619,15414,19834,4871,33945,17563,21253,,,,,,,,12352,4487,310,1309,,,,,9.72375,13.494941,25.260143,6.259721,10.030911,12.907298,3.169883,22.090261,11.429408,13.830736,,,,,,,,8.038265,2.919988,0.201738,0.851853,,,,,,1.562972673,,467.9789798,749.9145436,964.9542661,,,,15.08197149,63.6848409,,
169520_NVA_17-001.ILC2.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,8666226,64890,8410,3470,13210,7399,2459,10127,1249,11961,2285,10925,,,,,,,,6878,3398,652,534,,,,,12.960395,5.347511,20.357529,11.402373,3.78949,15.606411,1.924796,18.432732,3.521344,16.836184,,,,,,,,10.599476,5.236554,1.004777,0.822931,,,,,,6.438234423,,853.7741804,283.7451966,1168.559417,,,,75.23459462,61.61851768,,
169521_NVA_17-001.ILC2.RunDA_19T034716.02.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,36805768,341781,34819,86953,112204,16314,68448,32819,14538,97666,77516,34688,,,,,,,,19116,31460,186,6970,,,,,10.187518,25.441145,32.829208,4.773232,20.026859,9.602347,4.253601,28.575609,22.680019,10.149189,,,,,,,,5.593055,9.204724,0.054421,2.039318,,,,,,0.566744873,,443.2457434,1859.708511,891.6808909,,,,5.053555736,189.3724918,,
169522_NVA_17-001.ILC2.RunDA_19T041660.02.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,39048020,237594,17085,28665,14437,11366,22946,4137,971,13466,10177,4260,,,,,,,,9545,11458,86,2354,,,,,7.190838,12.064698,6.076332,4.783791,9.657651,1.741206,0.40868,5.667652,4.283357,1.792975,,,,,,,,4.017357,4.822512,0.036196,0.990766,,,,,,2.078801064,,291.0774989,587.6354294,105.9464731,,,,2.202416409,60.28474683,,
169523_NVA_17-001.ILC2.RunDA_19T038508.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,28039838,166514,1976,3991,5396,1450,3465,3789,81,5315,1579,3817,,,,,,,,2354,2525,86,363,,,,,1.186687,2.396796,3.240568,0.870798,2.080906,2.275484,0.048645,3.191924,0.948269,2.2923,,,,,,,,1.413695,1.516389,0.051647,0.218,,,,,,2.26972816,,51.71213899,123.5741804,135.1291687,,,,3.067064795,12.94586652,,
169524_NVA_17-001.ILC3.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,31789442,299933,37218,27696,28315,21367,11845,15288,4762,23553,12013,16302,,,,,,,,,,,,46624,121919,3692,999,12.408772,9.234062,9.440442,7.123924,3.949215,5.097138,1.587688,7.852754,4.005228,5.435214,,,,,,,,,,,,15.544805,40.648746,1.230942,0.333074,,,24.14965986,672.1413984,372.6079873,480.9143866,,,,,,116.1391886,31.42552801
169525_NVA_17-001.ILC3.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,15932899,194741,13781,25702,31855,11857,23778,14534,786,31069,17146,14709,,,,,,,,,,,,3767,120853,754,727,7.076579,13.198043,16.357624,6.0886,12.210064,7.463246,0.403613,15.954011,8.804515,7.553109,,,,,,,,,,,,1.934364,62.058323,0.387181,0.373316,,,5.18783542,744.1834659,1492.383778,912.2005983,,,,,,47.32346574,45.62885888
169526_NVA_17-001.ILC3.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,42845224,514253,38520,179174,210992,23912,164566,51733,10617,200375,157628,53364,,,,,,,,,,,,18821,191733,3730,3352,7.490477,34.841606,41.028831,4.649851,32.00098,10.059834,2.064548,38.964283,30.651838,10.376993,,,,,,,,,,,,3.659872,37.283787,0.725324,0.651819,,,7.210098003,558.1018785,3840.941525,1207.43913,,,,,,87.05754462,78.23509103
169527_NVA_17-001.ILC3.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,19664416,159265,12166,20695,35680,8068,16597,17576,3413,32267,17193,18487,,,,,,,,,,,,4868,63427,1524,356,7.638841,12.994066,22.402914,5.065771,10.420997,11.035695,2.142969,20.259945,10.795216,11.607697,,,,,,,,,,,,3.056541,39.824821,0.956896,0.223527,,,8.670914884,410.2842413,844.0118435,893.797202,,,,,,77.50039462,18.10376672
169528_NVA_17-001.ILC3.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,8518833,63243,6514,3679,12878,5592,2757,9958,1014,11864,2265,10613,,,,,,,,,,,,4883,42835,1846,273,10.299954,5.817245,20.362728,8.842085,4.359376,15.745616,1.60334,18.759388,3.581424,16.781303,,,,,,,,,,,,7.721013,67.73082,2.9189,0.431668,,,18.53785901,656.4279403,323.6358783,1168.939455,,,,,,216.696348,32.04664301
169529_NVA_17-001.ILC3.RunDA_19T034716.02.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,38574348,366591,40307,80352,116358,20741,60786,41249,16988,99370,71914,44444,,,,,,,,,,,,15471,102541,2812,1712,10.995088,21.918705,31.740551,5.657804,16.581421,11.252049,4.634047,27.106503,19.616957,12.123592,,,,,,,,,,,,4.220234,27.9715,0.767067,0.467005,,,6.817134961,537.6889326,1575.814062,1069.337582,,,,,,72.89818612,44.38182597
169530_NVA_17-001.ILC3.RunDA_19T041660.02.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,39522864,248124,17270,22174,26069,12760,17664,12604,2529,23540,12726,13343,,,,,,,,,,,,11507,69082,1764,888,6.960229,8.936661,10.50644,5.14259,7.119021,5.079718,1.019248,9.487192,5.128887,5.377553,,,,,,,,,,,,4.6376,27.841724,0.710935,0.357886,,,13.99555697,322.851097,446.9311738,318.9040146,,,,,,44.63239304,22.46800738
169531_NVA_17-001.ILC3.RunDA_19T038508.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,27879920,162797,2123,3342,8712,1704,2923,7251,92,8620,1420,7292,,,,,,,,,,,,5748,46655,1192,512,1.304078,2.052863,5.35145,1.046702,1.795488,4.454013,0.056512,5.294938,0.872252,4.479198,,,,,,,,,,,,3.530778,28.65839,0.7322,0.314502,,,16.43911185,61.11925716,104.8424816,260.0796559,,,,,,42.75478552,18.36447163
