Image Tag,Algorithm Name,Analysis Region,Area Analyzed (µm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-TCR+ T-Helper:CD20-TCR+TBX+EOMES+ Cells,%Pool-TCR+ T-Helper:CD20-TCR+GATA+ICOS+ Cells,%Pool-TCR+ T-Helper:CD20-TCR+ROR+AHR+ Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
178943_NVA_17-001.ILC2.RunFL_21T011790.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,20856080,303733,71632,119817,61291,34430,82615,11961,4385,56906,49235,12056,,,,,,,,89285,85570,702,30006,,,,,23.583872,39.448135,20.179235,11.335614,27.199877,3.937998,1.443702,18.735535,16.209961,3.969276,,,,,,,,29.395884,28.17277,0.231124,9.879071,,,,,,25.04319087,,1650.83755,3961.195009,573.5018278,,,,33.65924949,1438.717151,,
178944_NVA_17-001.ILC2.RunFL_21T017026.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,28229596,333585,66968,127855,183130,38331,99218,72484,23147,159983,104530,78600,,,,,,,,72165,50008,4904,14981,,,,,20.075243,38.327564,54.897552,11.490624,29.742945,21.728794,6.938861,47.958691,31.335342,23.56221,,,,,,,,21.633167,14.991082,1.47009,4.49091,,,,,,11.71717962,,1357.830271,3514.680125,2567.659842,,,,173.7183912,530.6841798,,
178945_NVA_17-001.ILC2.RunFL_21T013762.00.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,4834943,61688,14469,22793,16878,7420,15744,4863,2229,14649,11845,5033,,,,,,,,23045,20401,514,6380,,,,,23.45513,36.948841,27.360264,12.028272,25.521982,7.883219,3.613345,23.74692,19.201466,8.158799,,,,,,,,37.357346,33.071262,0.833225,10.342368,,,,,,27.99104988,,1534.661319,3256.294852,1005.802964,,,,106.3094229,1319.560541,,
178946_NVA_17-001.ILC2.RunFL_21T026643.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,13067352,191353,13571,21402,6962,10532,18363,2926,98,6864,4023,2939,,,,,,,,7436,35713,120,1388,,,,,7.092128,11.184565,3.638302,5.503964,9.5964,1.529111,0.051214,3.587088,2.102397,1.535905,,,,,,,,3.886012,18.663412,0.062711,0.725361,,,,,,6.485375199,,805.9781354,1405.257928,223.9168272,,,,9.18319182,106.2189187,,
178947_NVA_17-001.ILC2.RunFL_22T007116.00.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,10467168,140501,13603,61697,10585,1901,49995,636,1813,8772,9945,640,,,,,,,,26230,10815,3,3739,,,,,9.681782,43.912144,7.533754,1.353015,35.583378,0.452666,1.290382,6.243372,7.078241,0.455513,,,,,,,,18.668907,7.697454,0.002135,2.661191,,,,,,6.060262249,,181.6155048,4776.363578,60.76142085,,,,0.286610476,357.2121896,,
178948_NVA_17-001.ILC2.RunFL_22T023296.07.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,18982890,280024,51980,83806,30111,38791,70617,4777,2139,27972,25183,4928,,,,,,,,38664,98896,437,22650,,,,,18.562695,29.928148,10.753007,13.852741,25.218195,1.705925,0.763863,9.989143,8.993157,1.759849,,,,,,,,13.807388,35.316975,0.156058,8.088593,,,,,,27.02670453,,2043.471779,3720.034199,251.647668,,,,23.02073077,1193.179753,,
178949_NVA_17-001.ILC3.RunFL_15T030077.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,36296720,383031,17113,21911,2481,14355,19153,1669,71,2410,780,1701,,,,,,,,,,,,895,77513,193,20,4.467784,5.720425,0.647728,3.747738,5.000379,0.435735,0.018536,0.629192,0.203639,0.444089,,,,,,,,,,,,0.233663,20.236744,0.050388,0.005222,,,0.091278353,395.4902812,527.678534,45.98211629,,,,,,5.317284868,0.551013976
178950_NVA_17-001.ILC3.RunFL_21T006796.00.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,40716264,593968,170215,162554,53664,136837,129176,4232,2153,51511,49364,4300,,,,,,,,,,,,641,422598,71,101,28.657269,27.367468,9.03483,23.037773,21.747972,0.712496,0.362477,8.672353,8.310885,0.723945,,,,,,,,,,,,0.107918,71.148277,0.011954,0.017004,,,0.062133199,3360.745475,3172.589705,103.9388093,,,,,,1.74377492,2.480581224
178951_NVA_17-001.ILC3.RunFL_21T011790.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,21151196,306710,73343,68947,29317,51513,47117,10998,1112,28205,18187,11130,,,,,,,,,,,,1899,37921,242,181,23.912817,22.479542,9.55854,16.795343,15.362068,3.585798,0.362557,9.195983,5.929706,3.628835,,,,,,,,,,,,0.619152,12.363796,0.078902,0.059013,,,0.262520487,2435.465115,2227.628168,519.9705965,,,,,,11.44143338,8.557435712
178952_NVA_17-001.ILC3.RunFL_21T017026.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,27928464,332015,54999,110244,149768,33856,89101,62912,15107,134661,82805,66963,,,,,,,,,,,,6896,213967,2119,1826,16.565216,33.204525,45.108807,10.197129,26.836437,18.948542,4.550096,40.558708,24.940138,20.168667,,,,,,,,,,,,2.077015,64.444977,0.638224,0.549975,,,1.656325968,1212.239957,3190.329407,2252.612245,,,,,,75.87241461,65.38132566
178953_NVA_17-001.ILC3.RunFL_21T013762.00.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,4955791,60933,17571,27670,8210,5779,15878,1342,1037,7173,6862,1348,,,,,,,,,,,,735,39520,17,216,28.836592,45.410534,13.473816,9.484187,26.05813,2.202419,1.701869,11.771946,11.26155,2.212266,,,,,,,,,,,,1.206243,64.858124,0.027899,0.354488,,,0.78062884,1166.110516,3203.928495,270.7943091,,,,,,3.430330294,43.58537315
178954_NVA_17-001.ILC3.RunFL_21T026643.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,13130670,191688,25055,29131,5782,19595,23671,1863,133,5649,3909,1873,,,,,,,,,,,,328,20681,58,10,13.070719,15.197091,3.01636,10.222341,12.348713,0.971892,0.069384,2.946976,2.039251,0.977109,,,,,,,,,,,,0.171111,10.788886,0.030258,0.005217,,,0.034327692,1492.307704,1802.725984,141.8815643,,,,,,4.417139415,0.761575761
178955_NVA_17-001.ILC3.RunFL_22T007116.00.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,10392712,139812,22365,36014,5356,11089,24738,812,1334,4022,4503,853,,,,,,,,,,,,1338,103857,127,340,15.996481,25.758877,3.830858,7.931365,17.69376,0.58078,0.954138,2.87672,3.220754,0.610105,,,,,,,,,,,,0.956999,74.283325,0.090836,0.243184,,,0.944077303,1066.997719,2380.321903,78.13167535,,,,,,12.22010193,32.71523352
178956_NVA_17-001.ILC3.RunFL_22T023296.07.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,19567914,289874,85738,105248,24479,59863,79373,2871,2517,21962,21501,2978,,,,,,,,,,,,374,66053,42,120,29.577679,36.308189,8.444703,20.651386,27.381897,0.99043,0.868308,7.576395,7.417361,1.027343,,,,,,,,,,,,0.129022,22.786797,0.014489,0.041397,,,0.114016418,3059.242799,4056.283158,146.7197781,,,,,,2.14637084,6.132488113
