Image Tag,Algorithm Name,Analysis Region,Area Analyzed (µm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-TCR+ T-Helper:CD20-TCR+TBX+EOMES+ Cells,%Pool-TCR+ T-Helper:CD20-TCR+GATA+ICOS+ Cells,%Pool-TCR+ T-Helper:CD20-TCR+ROR+AHR+ Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
168981_NVA_17-001.ILC2.RunSG_21T000195.21.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,10843670,164864,21328,25701,60758,18369,22742,38960,2822,57936,20474,40284,,,,,,,,25786,13471,2332,2971,,,,,12.936724,15.589213,36.853405,11.141911,13.7944,23.631599,1.711714,35.141693,12.418721,24.434685,,,,,,,,15.640771,8.170978,1.414499,1.802091,,,,,,11.55986148,,1693.983679,2097.260429,3592.879532,,,,215.0563416,273.9847303,,
168982_NVA_17-001.ILC2.RunSG_21T000198.09.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,24069544,292582,62750,125861,151080,35571,98682,37469,22243,128837,109964,41116,,,,,,,,81858,27094,801,14380,,,,,21.44698,43.017342,51.636806,12.157618,33.727982,12.806324,7.602313,44.034492,37.583992,14.052813,,,,,,,,27.977798,9.26031,0.273769,4.914862,,,,,,11.42530252,,1477.842704,4099.869944,1556.697543,,,,33.2785698,597.4354977,,
168983_NVA_17-001.ILC2.RunSG_21T000204.04.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,4942458,75252,6437,15286,38891,5263,14112,23580,1845,37046,14373,24518,,,,,,,,32134,4655,1692,1804,,,,,8.553926,20.313082,51.681019,6.993834,18.752991,31.334715,2.451762,49.229256,19.099825,32.581192,,,,,,,,42.701855,6.185882,2.248445,2.397279,,,,,,11.80164857,,1064.854775,2855.259468,4770.905489,,,,342.3397832,365.0005726,,
168984_NVA_17-001.ILC2.RunSG_21T000239.07.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,30788420,393411,27122,49018,125665,21235,43131,80662,5761,119904,42833,82832,,,,,,,,63088,15730,2947,5817,,,,,6.894063,12.459743,31.942421,5.397663,10.963344,20.503239,1.464372,30.47805,10.887596,21.054825,,,,,,,,16.036156,3.998363,0.749089,1.478606,,,,,,11.86706924,,689.707364,1400.883839,2619.881111,,,,95.71780559,188.9346709,,
168985_NVA_17-001.ILC2.RunSG_21T000410.06.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,30500654,437278,59620,89185,200299,52423,81988,122734,5446,194853,74825,125474,,,,,,,,148471,48543,15341,16270,,,,,13.634347,20.395493,45.80587,11.988483,18.749628,28.067728,1.245432,44.56044,17.11154,28.694332,,,,,,,,33.953457,11.101176,3.508295,3.720745,,,,,,18.24297808,,1718.750031,2688.073508,4023.979289,,,,502.9728215,533.4311848,,
168986_NVA_17-001.ILC2.RunSG_21T000411.10.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,28321100,408944,72912,200498,221827,49666,177252,38150,19083,202744,180293,41534,,,,,,,,166139,52893,1745,36656,,,,,17.829336,49.028229,54.243858,12.144939,43.34383,9.328906,4.666409,49.57745,44.087456,10.156403,,,,,,,,40.626347,12.934045,0.426709,8.963574,,,,,,18.28247663,,1753.674822,6258.655208,1347.052198,,,,61.61483841,1294.30001,,
168987_NVA_17-001.ILC3.RunSG_19T043732.02.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,25953512,345400,38731,59176,162253,34628,55073,107682,5072,157181,51620,110633,,,,,,,,,,,,7016,96739,1907,943,11.213376,17.132601,46.975391,10.025477,15.944702,31.176027,1.468442,45.506947,14.944991,32.030399,,,,,,,,,,,,2.031268,28.007816,0.552113,0.273017,,,1.59355144,1334.23176,2121.986419,4149.033857,,,,,,73.47753167,36.33419631
168988_NVA_17-001.ILC3.RunSG_19T057083.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,11253593,130547,20244,27487,41928,15012,22255,17858,5156,36772,22232,19696,,,,,,,,,,,,7405,35006,1690,1095,15.507059,21.055252,32.117168,11.499307,17.047501,13.679364,3.949535,28.167633,17.029882,15.087287,,,,,,,,,,,,5.672287,26.814863,1.294553,0.838778,,,3.983701386,1333.973958,1977.590624,1586.870966,,,,,,150.1742599,97.30225715
168989_NVA_17-001.ILC3.RunSG_21T000195.21.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,10659013,164111,30687,11635,40750,27741,8689,33102,1847,38903,6634,34116,,,,,,,,,,,,1152,49309,342,69,18.698929,7.089714,24.830755,16.903803,5.294587,20.170494,1.125458,23.705297,4.042386,20.788368,,,,,,,,,,,,0.701964,30.046127,0.208396,0.042045,,,0.593038247,2602.586187,815.1786662,3105.540823,,,,,,32.08552236,6.473394863
168990_NVA_17-001.ILC3.RunSG_21T000198.09.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,23948144,294417,78839,117270,138792,47535,85966,37181,23165,115627,97327,41465,,,,,,,,,,,,8090,156878,1540,2841,26.778006,39.831261,47.1413,16.145468,29.198721,12.628687,7.868092,39.273209,33.057533,14.083766,,,,,,,,,,,,2.747803,53.284286,0.523068,0.964958,,,2.422614479,1984.913737,3589.672753,1552.562904,,,,,,64.30560965,118.6313227
168991_NVA_17-001.ILC3.RunSG_21T000204.04.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,5146723,77039,9560,16769,42132,8251,15460,25294,2065,40067,15724,26408,,,,,,,,,,,,3341,26866,1084,663,12.409299,21.766897,54.689182,10.71016,20.067759,32.832722,2.68046,52.008724,20.410442,34.278744,,,,,,,,,,,,4.336764,34.873245,1.40708,0.860603,,,3.953724134,1603.156028,3003.853131,4914.583513,,,,,,210.6194563,128.8198335
168992_NVA_17-001.ILC3.RunSG_21T000239.07.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,31336426,402981,36711,54089,125624,25525,42903,79206,8062,117562,44258,81366,,,,,,,,,,,,11822,85178,1947,1230,9.109859,13.422221,31.173677,6.334045,10.646408,19.655022,2.000591,29.173088,10.982652,20.191027,,,,,,,,,,,,2.933637,21.136976,0.483149,0.305225,,,2.27402984,814.547262,1369.109547,2527.601584,,,,,,62.1321653,39.25144495
168993_NVA_17-001.ILC3.RunSG_21T000410.06.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,29590232,427403,36042,34908,170336,32079,30945,141381,2814,167522,27329,143007,,,,,,,,,,,,7389,31166,1194,184,8.432791,8.167467,39.853722,7.505563,7.240239,33.079086,0.658395,39.195328,6.394199,33.459522,,,,,,,,,,,,1.728813,7.291947,0.279362,0.043051,,,0.527099805,1084.107756,1045.784298,4777.961863,,,,,,40.35115372,6.218268245
168994_NVA_17-001.ILC3.RunSG_21T000411.10.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,27570124,392362,54768,149329,178884,39631,134192,48237,11140,167744,128318,50566,,,,,,,,,,,,4545,141616,986,1226,13.958538,38.058987,45.591572,10.100621,34.201069,12.294004,2.839215,42.752357,32.703983,12.887589,,,,,,,,,,,,1.158369,36.093201,0.251299,0.312467,,,0.821005967,1437.461797,4867.297659,1749.611282,,,,,,35.76335021,44.46842531
