"Image Location"|"Image Tag"|"Algorithm Name"|"Start Time"|"Job Id"|"Analysis Region"|"Analysis Inputs"|"TH1 Count"|"ILC1 Count"|"TH1 within 50μm of ILC1"|"% TH1 within 50μm of ILC1"|"Average Distance (μm) to ILC1"|"Number of Unique ILC1"|"Average number of TH1 within 50μm of ILC1"|"TH1 within 0-5μm of ILC1"|"TH1 within 5-10μm of ILC1"|"TH1 within 10-15μm of ILC1"|"TH1 within 15-20μm of ILC1"|"TH1 within 20-25μm of ILC1"|"TH1 within 25-30μm of ILC1"|"TH1 within 30-35μm of ILC1"|"TH1 within 35-40μm of ILC1"|"TH1 within 40-45μm of ILC1"|"TH1 within 45-50μm of ILC1"|"TH2 Count"|"TH2 within 50μm of ILC1"|"% TH2 within 50μm of ILC1"|"Average number of TH2 within 50μm of ILC1"|"TH2 within 0-5μm of ILC1"|"TH2 within 5-10μm of ILC1"|"TH2 within 10-15μm of ILC1"|"TH2 within 15-20μm of ILC1"|"TH2 within 20-25μm of ILC1"|"TH2 within 25-30μm of ILC1"|"TH2 within 30-35μm of ILC1"|"TH2 within 35-40μm of ILC1"|"TH2 within 40-45μm of ILC1"|"TH2 within 45-50μm of ILC1"|"TH17 Count"|"TH17 within 50μm of ILC1"|"% TH17 within 50μm of ILC1"|"Average number of TH17 within 50μm of ILC1"|"TH17 within 0-5μm of ILC1"|"TH17 within 5-10μm of ILC1"|"TH17 within 10-15μm of ILC1"|"TH17 within 15-20μm of ILC1"|"TH17 within 20-25μm of ILC1"|"TH17 within 25-30μm of ILC1"|"TH17 within 30-35μm of ILC1"|"TH17 within 35-40μm of ILC1"|"TH17 within 40-45μm of ILC1"|"TH17 within 45-50μm of ILC1"|"ILC2 Count"|"TH1 within 50μm of ILC2"|"% TH1 within 50μm of ILC2"|"Average Distance (μm) to ILC2"|"Number of Unique ILC2"|"Average number of TH1 within 50μm of ILC2"|"TH1 within 0-5μm of ILC2"|"TH1 within 5-10μm of ILC2"|"TH1 within 10-15μm of ILC2"|"TH1 within 15-20μm of ILC2"|"TH1 within 20-25μm of ILC2"|"TH1 within 25-30μm of ILC2"|"TH1 within 30-35μm of ILC2"|"TH1 within 35-40μm of ILC2"|"TH1 within 40-45μm of ILC2"|"TH1 within 45-50μm of ILC2"|"TH2 within 50μm of ILC2"|"% TH2 within 50μm of ILC2"|"Average number of TH2 within 50μm of ILC2"|"TH2 within 0-5μm of ILC2"|"TH2 within 5-10μm of ILC2"|"TH2 within 10-15μm of ILC2"|"TH2 within 15-20μm of ILC2"|"TH2 within 20-25μm of ILC2"|"TH2 within 25-30μm of ILC2"|"TH2 within 30-35μm of ILC2"|"TH2 within 35-40μm of ILC2"|"TH2 within 40-45μm of ILC2"|"TH2 within 45-50μm of ILC2"|"TH17 within 50μm of ILC2"|"% TH17 within 50μm of ILC2"|"Average number of TH17 within 50μm of ILC2"|"TH17 within 0-5μm of ILC2"|"TH17 within 5-10μm of ILC2"|"TH17 within 10-15μm of ILC2"|"TH17 within 15-20μm of ILC2"|"TH17 within 20-25μm of ILC2"|"TH17 within 25-30μm of ILC2"|"TH17 within 30-35μm of ILC2"|"TH17 within 35-40μm of ILC2"|"TH17 within 40-45μm of ILC2"|"TH17 within 45-50μm of ILC2"|"ILC3 Count"|"TH1 within 50μm of ILC3"|"% TH1 within 50μm of ILC3"|"Average Distance (μm) to ILC3"|"Number of Unique ILC3"|"Average number of TH1 within 50μm of ILC3"|"TH1 within 0-5μm of ILC3"|"TH1 within 5-10μm of ILC3"|"TH1 within 10-15μm of ILC3"|"TH1 within 15-20μm of ILC3"|"TH1 within 20-25μm of ILC3"|"TH1 within 25-30μm of ILC3"|"TH1 within 30-35μm of ILC3"|"TH1 within 35-40μm of ILC3"|"TH1 within 40-45μm of ILC3"|"TH1 within 45-50μm of ILC3"|"TH2 within 50μm of ILC3"|"% TH2 within 50μm of ILC3"|"Average number of TH2 within 50μm of ILC3"|"TH2 within 0-5μm of ILC3"|"TH2 within 5-10μm of ILC3"|"TH2 within 10-15μm of ILC3"|"TH2 within 15-20μm of ILC3"|"TH2 within 20-25μm of ILC3"|"TH2 within 25-30μm of ILC3"|"TH2 within 30-35μm of ILC3"|"TH2 within 35-40μm of ILC3"|"TH2 within 40-45μm of ILC3"|"TH2 within 45-50μm of ILC3"|"TH17 within 50μm of ILC3"|"% TH17 within 50μm of ILC3"|"Average number of TH17 within 50μm of ILC3"|"TH17 within 0-5μm of ILC3"|"TH17 within 5-10μm of ILC3"|"TH17 within 10-15μm of ILC3"|"TH17 within 15-20μm of ILC3"|"TH17 within 20-25μm of ILC3"|"TH17 within 25-30μm of ILC3"|"TH17 within 30-35μm of ILC3"|"TH17 within 35-40μm of ILC3"|"TH17 within 40-45μm of ILC3"|"TH17 within 45-50μm of ILC3"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"Proximity Analysis ILC1 & TH2"|"24/01/2025 13:05:12"|"100061"|"Layer 1"|"Proximity Analysis ILC1 & TH2:;Population:TH2;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"381"|||"112,71"|"354"||||||||||||"20153"|"3555"|"17,64"|"10,042373"|"42"|"115"|"216"|"313"|"378"|"422"|"456"|"483"|"551"|"579"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"Proximity Analysis ILC1 & TH17"|"24/01/2025 13:14:51"|"100083"|"Layer 1"|"Proximity Analysis ILC1 & TH17:;Population:TH17;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"381"|||"153,3"|"148"||||||||||||||||||||||||||"5361"|"622"|"11,6"|"4,2027025"|"3"|"16"|"32"|"42"|"57"|"56"|"88"|"97"|"103"|"128"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"Proximity Analysis ILC2 & TH1"|"24/01/2025 13:15:34"|"100084"|"Layer 1"|"Proximity Analysis ILC2 & TH1:;Population:TH1;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"244"|||||||||||||||||||||||||||||||||||||||||||||"2506"|"160"|"65,57"|"47,95"|"195"|"0,82051283"|"6"|"8"|"15"|"17"|"27"|"26"|"20"|"15"|"13"|"13"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"Proximity Analysis ILC2 & TH2"|"24/01/2025 13:16:22"|"100085"|"Layer 1"|"Proximity Analysis ILC2 & TH2:;Population:TH2;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"20153"||||||||||||||||||||||||||||"2506"|||"47,04"|"1998"||||||||||||"13543"|"67,2"|"6,7782784"|"139"|"1722"|"1614"|"1638"|"1739"|"1664"|"1513"|"1325"|"1160"|"1029"|||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"Proximity Analysis ILC2 & TH17"|"24/01/2025 13:17:05"|"100086"|"Layer 1"|"Proximity Analysis ILC2 & TH17:;Population:TH17;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"5361"||||||||||||||"2506"|||"144"|"323"|||||||||||||||||||||||||"1398"|"26,08"|"4,328173"|"18"|"67"|"115"|"127"|"164"|"159"|"193"|"168"|"197"|"190"||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"Proximity Analysis ILC3 & TH1"|"24/01/2025 13:17:41"|"100087"|"Layer 1"|"Proximity Analysis ILC3 & TH1:;Population:TH1;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"244"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"659"|"73"|"29,92"|"88,86"|"137"|"0,5328467"|"0"|"1"|"10"|"9"|"10"|"7"|"8"|"7"|"11"|"10"||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"Proximity Analysis ILC3 & TH2"|"24/01/2025 13:18:28"|"100088"|"Layer 1"|"Proximity Analysis ILC3 & TH2:;Population:TH2;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"20153"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"659"|||"109,95"|"555"||||||||||||"4816"|"23,9"|"8,677478"|"64"|"224"|"305"|"397"|"536"|"598"|"593"|"678"|"700"|"721"|||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi"|"Proximity Analysis ILC3 & TH17"|"24/01/2025 13:19:06"|"100089"|"Layer 1"|"Proximity Analysis ILC3 & TH17:;Population:TH17;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"5361"||||||||||||||||||||||||||||||||||||||||||||||||||||||||"659"|||"73,81"|"280"|||||||||||||||||||||||||"1888"|"35,22"|"6,742857"|"12"|"123"|"122"|"157"|"208"|"230"|"244"|"261"|"274"|"257"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178688_NVA_17-001.ILC1.RunST.TdTv2_15T044696.05.czi"|"178688_NVA_17-001.ILC1.RunST.TdTv2_15T044696.05.czi"|"Proximity Analysis ILC1 & TH1"|"23/01/2025 17:34:47"|"100031"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"0"|"10"|"0"|"0"|"0"|"10"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunST.TdTv2\178688_NVA_17-001.ILC1.RunST.TdTv2_15T044696.05.czi"|"178688_NVA_17-001.ILC1.RunST.TdTv2_15T044696.05.czi"|"Proximity Analysis ILC1 & TH2"|"23/01/2025 17:40:56"|"100032"|"Layer 1"|"Proximity Analysis ILC1 & TH2:;Population:TH2;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"10"|||"924,63"|"9"||||||||||||"997"|"15"|"1,5"|"1,6666666"|"0"|"1"|"1"|"1"|"1"|"1"|"2"|"2"|"4"|"2"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
