Image Tag,Algorithm Name,Analysis Region,Area Analyzed (µm²),Total Cells,TdT Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,Early T-Cells:TdT+TCR- Cells,Mature T-Cells:TdT-TCR+ Cells,Pool-IL7R Non T:TdT-TCR-IL7R+ Cells,Pool-IL7R Early T:TdT+TCR-IL7R+ Cells,Pool-IL7R Mature T:TdT-TCR+IL7R+ Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+TdT-TCR-IL7R+ Cells,ILC1:TBX+EOMES-TdT-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Cells,T-Helper:TdT-TCR+TBX+EOMES+ Cells,T-Helper:TdT+TCR+TBX+EOMES+ Cells,Immature T-Helper:TdT+TCR-TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+TdT-TCR-IL7R+ Cells,T-Helper:TdT-TCR+GATA+ICOS+ Cells,T-Helper:TdT+TCR+GATA+ICOS+ Cells,Immature T-Helper:TdT+TCR-GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+TdT-TCR-IL7R+ Cells,T-Helper:TdT-TCR+ROR+AHR+ Cells,T-Helper:TdT+TCR+ROR+AHR+ Cells,Immature T-Helper:TdT+TCR-ROR+AHR+ Cells,% TdT Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:TdT+TCR- Positive Cells,% Mature T-Cells:TdT-TCR+ Positive Cells,% Pool-IL7R Non T:TdT-TCR-IL7R+ Positive Cells,% Pool-IL7R Early T:TdT+TCR-IL7R+ Positive Cells,% Pool-IL7R Mature T:TdT-TCR+IL7R+ Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+TdT-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-TdT-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Positive Cells,% T-Helper:TdT-TCR+TBX+EOMES+ Positive Cells,% T-Helper:TdT+TCR+TBX+EOMES+ Positive Cells,% Immature T-Helper:TdT+TCR-TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+GATA+ICOS+ Positive Cells,% T-Helper:TdT+TCR+GATA+ICOS+ Positive Cells,% Immature T-Helper:TdT+TCR-GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+ROR+AHR+ Positive Cells,% T-Helper:TdT+TCR+ROR+AHR+ Positive Cells,% Immature T-Helper:TdT+TCR-ROR+AHR+ Positive Cells,%Pool-TCR+ TH1 Cells,%Pool-TCR+ TH2 Cells,%Pool-TCR+ TH17 Cells,%Pool-TCR+ T-Helper:TdT-TCR+TBX+EOMES+ Cells,%Pool-TCR+ T-Helper:TdT+TCR+TBX+EOMES+ Cells,%Pool-TCR+ Immature T-Helper:TdT+TCR-TBX+EOMES+ Cells,%Pool-TCR+ T-Helper:TdT-TCR+GATA+ICOS+ Cells,%Pool-TCR+ T-Helper:TdT+TCR+GATA+ICOS+ Cells,%Pool-TCR+ Immature T-Helper:TdT+TCR-GATA+ICOS+ Cells,%Pool-TCR+ T-Helper:TdT-TCR+ROR+AHR+ Cells,%Pool-TCR+ T-Helper:TdT+TCR+ROR+AHR+ Cells,%Pool-TCR+ Immature T-Helper:TdT+TCR-ROR+AHR+ Cells,Early T-Cells - Density/mm²,Mature T-Cells - Density/mm²,Pool-IL7R Non T - Density/mm²,Pool-IL7R Early T - Density/mm²,Pool-IL7R Mature T - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 TdT- - Density/mm²,TH1 TdT+ - Density/mm²,Immature TH1 - Density/mm²,ILC2 - Density/mm²,TH2 TdT- - Density/mm²,TH2 TdT+ - Density/mm²,Immature TH2 - Density/mm²,ILC3 - Density/mm²,TH17 TdT- - Density/mm²,TH17 TdT+ - Density/mm²,Immature TH17 - Density/mm²
178698_NVA_17-001.ILC2.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,16900538,233333,32792,52139,130659,26333,45680,63372,18628,42399,,,,,,,,,,115211,50920,9672,21372,2741,2136,,,,,,,14.053735,22.345318,55.996796,11.285587,19.577171,27.159468,7.98344,18.171026,,,,,,,,,,49.376213,21.822887,4.145149,9.159442,1.174716,0.91543,,,,,,,,50.34427204,,,,,40.99042943,5.25710121,4.096741403,,,,1558.116079,2702.872536,3749.703116,1102.213432,2508.736704,,,,,,572.2894739,1264.575128,162.1841861,126.3865091,,,,
178699_NVA_17-001.ILC2.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,11861863,166462,21273,27006,88569,17182,22915,51780,11875,20929,,,,,,,,,,36181,28909,4659,5916,1212,850,,,,,,,12.779493,16.223522,53.206738,10.321876,13.765904,31.106199,7.13376,12.57284,,,,,,,,,,21.735291,17.366726,2.798837,3.553964,0.728094,0.510627,,,,,,,,29.54158335,,,,,21.90624306,4.48789158,3.147448715,,,,1448.507709,1931.821334,4365.250214,1001.107499,1764.394008,,,,,,392.7713547,498.741218,102.1761927,71.65822097,,,,
178700_NVA_17-001.ILC2.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,3887913.5,56459,3448,33147,38110,923,30622,8411,681,26751,,,,,,,,,,5739,20031,103,3131,590,21,,,,,,,6.107087,58.709862,67.500313,1.634815,54.237587,14.897536,1.206185,47.381287,,,,,,,,,,10.164899,35.478844,0.182433,5.545617,1.045006,0.037195,,,,,,,,11.2891061,,,,,9.445802033,1.77994992,0.06335415,,,,237.4024011,7876.204036,2163.371176,175.1582179,6880.554313,,,,,,26.49235895,805.3162705,151.7523474,5.401354737,,,,
178701_NVA_17-001.ILC2.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,4011105.75,56715,10446,9569,23858,8210,7333,12433,3204,6432,,,,,,,,,,16846,4476,820,1200,258,144,,,,,,,18.418407,16.87208,42.066471,14.475888,12.92956,21.92189,5.649299,11.340915,,,,,,,,,,29.7029,7.892092,1.445826,2.115842,0.454906,0.253901,,,,,,,,16.74156129,,,,,12.54049535,2.6962065,1.504859442,,,,2046.81714,1828.174189,3099.644032,798.7822311,1603.54785,,,,,,204.4324062,299.1693749,64.32141561,35.90032499,,,,
178702_NVA_17-001.ILC2.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,5543847.5,70974,9134,28632,39398,4822,24320,12699,2286,21126,,,,,,,,,,37535,13523,1255,8261,1067,199,,,,,,,12.869501,40.341534,55.510468,6.794037,34.266068,17.892467,3.220898,29.765829,,,,,,,,,,52.885563,19.053455,1.768253,11.639474,1.503367,0.280384,,,,,,,,33.27395921,,,,,28.85233305,3.726599609,0.695026544,,,,869.7930454,4386.845057,2290.647425,412.3490049,3810.710883,,,,,,226.3770784,1490.120354,192.4656117,35.89564828,,,,
178703_NVA_17-001.ILC2.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC2-Default,Medulla,5595660,82805,1899,48203,72176,701,47005,23805,521,46703,,,,,,,,,,34965,16086,1272,9823,469,50,,,,,,,2.29334,58.212669,87.163818,0.846567,56.765896,28.748264,0.629189,56.401184,,,,,,,,,,42.225712,19.426363,1.536139,11.86281,0.566391,0.060383,,,,,,,,21.45509616,,,,,20.37839968,0.972968487,0.103727984,,,,125.2756601,8400.260202,4254.189854,93.10787289,8346.289803,,,,,,227.3190294,1755.46763,83.81495659,8.935496438,,,,
178704_NVA_17-001.ILC3.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,13335879,189509,8669,2950,22685,8592,2873,18715,1965,1950,,,,,,,,,,,,,,,,4112,304,2,0,0,2,4.574453,1.556654,11.970407,4.533822,1.516023,9.875521,1.03689,1.028975,,,,,,,,,,,,,,,,2.169818,0.160415,0.001055,0,0,0.001055,,,0.06779661,,,,,,,0,0,0.06779661,644.2769914,215.4338683,1403.357064,147.3468678,146.2220825,,,,,,,,,,0.149971367,0,0,0.149971367
178705_NVA_17-001.ILC3.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,7337784.5,103418,6730,20727,28383,5908,19905,12871,1820,13093,,,,,,,,,,,,,,,,8513,7750,65,62,75,183,6.507571,20.041965,27.444933,5.712739,19.247133,12.445609,1.759848,12.660272,,,,,,,,,,,,,,,,8.231643,7.49386,0.062852,0.059951,0.072521,0.176952,,,1.543879963,,,,,,,0.299126743,0.361846866,0.882906354,805.1476573,2712.671652,1754.071682,248.0312688,1784.326046,,,,,,,,,,8.858259601,8.449416851,10.22106877,24.9394078
178706_NVA_17-001.ILC3.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,16928510,234158,37354,60489,111276,29434,52569,45349,18527,40464,,,,,,,,,,,,,,,,55016,42150,922,1132,825,1938,15.952477,25.832558,47.521759,12.570145,22.450226,19.366838,7.912179,17.28064,,,,,,,,,,,,,,,,23.495247,18.000666,0.393751,0.483434,0.352326,0.827646,,,6.43918729,,,,,,,1.871414637,1.363884343,3.20388831,1738.723609,3105.353041,2678.853603,1094.425912,2390.287155,,,,,,,,,,54.46433266,66.86944096,48.73435406,114.4814281
178707_NVA_17-001.ILC3.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,11592900,167361,12051,19777,68525,10652,18378,44687,7099,15397,,,,,,,,,,,,,,,,10047,5068,123,22,38,67,7.200602,11.816971,40.944424,6.364685,10.981053,26.700964,4.241729,9.199873,,,,,,,,,,,,,,,,6.003191,3.028185,0.073494,0.013145,0.022705,0.040033,,,0.642160085,,,,,,,0.11124033,0.192142388,0.338777368,918.8382544,1585.280646,3854.68692,612.3575637,1328.1405,,,,,,,,,,10.60994229,1.897713256,3.27786835,5.77939946
178708_NVA_17-001.ILC3.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,3821871,55472,6620,33635,38059,1944,28959,6853,1431,25286,,,,,,,,,,,,,,,,5992,20252,137,974,865,112,11.933949,60.634193,68.60939,3.504471,52.204716,12.35398,2.57968,45.583359,,,,,,,,,,,,,,,,10.801846,36.508511,0.246971,1.755841,1.559345,0.201904,,,5.800505426,,,,,,,2.895793073,2.571725881,0.332986472,508.6513909,7577.178822,1793.100814,374.4239405,6616.131209,,,,,,,,,,35.84631716,254.8489994,226.3289368,29.30501841
178709_NVA_17-001.ILC3.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,4036645.75,57270,11349,7526,15674,9190,5367,8222,2434,3641,,,,,,,,,,,,,,,,6334,18855,109,72,235,722,19.816658,13.141261,27.368605,16.046797,9.371399,14.356557,4.250044,6.357605,,,,,,,,,,,,,,,,11.059892,32.922997,0.190327,0.12572,0.410337,1.260695,,,13.67260165,,,,,,,0.956683497,3.122508637,9.593409514,2276.64268,1329.569235,2036.839621,602.9758742,901.986507,,,,,,,,,,27.00261721,17.83659118,58.21665178,178.8613727
178710_NVA_17-001.ILC3.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,5121545,66268,9378,32325,44246,4515,27462,11200,3362,25221,,,,,,,,,,,,,,,,6964,15888,94,154,1022,725,14.151627,48.779202,66.768272,6.813243,41.440815,16.901068,5.073339,38.059093,,,,,,,,,,,,,,,,10.508842,23.975372,0.141848,0.23239,1.542222,1.094042,,,5.880897138,,,,,,,0.476411446,3.161639598,2.242846094,881.5699169,5362.053833,2186.840104,656.4425383,4924.490559,,,,,,,,,,18.35383659,30.06905143,199.5491595,141.558846
178711_NVA_17-001.ILC3.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC3-Default,Medulla,5551609,81173,2025,27745,64030,1063,26783,35761,761,26613,,,,,,,,,,,,,,,,2239,16027,216,151,289,192,2.494672,34.180084,78.880905,1.309549,32.994961,44.05529,0.937504,32.785534,,,,,,,,,,,,,,,,2.758306,19.744249,0.266098,0.186022,0.35603,0.236532,,,2.277887908,,,,,,,0.544242206,1.041629122,0.69201658,191.4760207,4824.367134,6441.555953,137.077377,4793.745381,,,,,,,,,,38.90763921,27.19932185,52.05698024,34.58456819
