Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
169518_NVA_17-001.ILC2.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,50350536,609099,91279,215121,209660,64644,188486,34407,11746,197914,174153,35507,,,,,,,,125900,104485,1738,49801,,,,,14.985906,35.317905,34.421333,10.613053,30.945051,5.648835,1.928422,32.492912,28.591904,5.82943,,,,,,,,20.669874,17.154026,0.28534,8.176175,,,,,,5.051297701,,1283.879083,3743.475541,683.3492299,,,,34.51800394,989.0857964,,
169519_NVA_17-001.ILC2.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,20972234,159080,18970,22078,39121,12464,15572,19866,5063,34058,17807,21314,,,,,,,,12998,5154,311,1364,,,,,11.924818,13.878551,24.59203,7.835052,9.788786,12.488056,3.182675,21.409353,11.193739,13.398291,,,,,,,,8.170732,3.239879,0.195499,0.85743,,,,,,1.565488775,,594.3096,742.5055433,947.2524482,,,,14.82913074,65.03837407,,
169520_NVA_17-001.ILC2.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,8920957,67741,10004,4053,14012,8683,2732,10497,1467,12545,2596,11416,,,,,,,,7475,3910,717,618,,,,,14.768013,5.983083,20.684666,12.817939,4.033008,15.495786,2.165601,18.519066,3.832243,16.852423,,,,,,,,11.034677,5.771985,1.058443,0.912298,,,,,,6.830523007,,973.326068,306.2451708,1176.667481,,,,80.37254299,69.2750789,,
169521_NVA_17-001.ILC2.RunDA_19T034716.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,37433352,351585,41517,90346,114665,20876,69705,33181,15566,99099,79460,35205,,,,,,,,19485,32371,189,7098,,,,,11.808524,25.696774,32.613735,5.937682,19.825932,9.437547,4.427379,28.186356,22.60051,10.013226,,,,,,,,5.542045,9.207162,0.053757,2.018857,,,,,,0.569603086,,557.6844948,1862.10949,886.4020513,,,,5.04897344,189.6170025,,
169522_NVA_17-001.ILC2.RunDA_19T041660.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,39765444,246404,22833,30607,14511,15667,23441,4145,978,13533,10243,4268,,,,,,,,10346,13038,87,2524,,,,,9.266489,12.421471,5.889109,6.358257,9.513238,1.682197,0.396909,5.4922,4.156994,1.732115,,,,,,,,4.198795,5.29131,0.035308,1.024334,,,,,,2.098914355,,393.9852903,589.4816615,104.2362308,,,,2.187829212,63.4721946,,
169523_NVA_17-001.ILC2.RunDA_19T038508.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,29143804,178754,9499,7682,6439,6624,4807,4131,169,6270,2272,4167,,,,,,,,3107,4657,100,605,,,,,5.314007,4.297526,3.602157,3.705651,2.689171,2.310997,0.094543,3.507614,1.271021,2.331137,,,,,,,,1.738143,2.605256,0.055943,0.338454,,,,,,2.420721375,,227.2867331,164.9407195,141.7453947,,,,3.431261067,20.75912945,,
169524_NVA_17-001.ILC3.RunDA_19T041899.07.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,34821628,337160,61446,34633,29572,39960,13147,15624,5381,24191,12843,16729,,,,,,,,,,,,47190,152943,3738,1016,18.224583,10.271977,8.77091,11.85194,3.899336,4.634002,1.595978,7.174932,3.809171,4.961739,,,,,,,,,,,,13.996323,45.362144,1.108672,0.301341,,,23.92473118,1147.562658,377.5527095,448.6866611,,,,,,107.3470775,29.17726879
169525_NVA_17-001.ILC3.RunDA_19T053321.33.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,19033236,239098,33020,27761,32352,29977,24718,14783,829,31523,17382,14970,,,,,,,,,,,,3962,154922,763,738,13.810237,11.610721,13.530853,12.537537,10.33802,6.18282,0.34672,13.184134,7.269823,6.261031,,,,,,,,,,,,1.657061,64.79435,0.319116,0.30866,,,5.161333965,1574.981784,1298.675643,776.6939894,,,,,,40.08777068,38.77427885
169526_NVA_17-001.ILC3.RunDA_19T061175.02.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,50077784,608709,86187,190220,214685,65207,169240,53505,11042,203643,159443,55242,,,,,,,,,,,,19583,252832,3862,3383,14.158982,31.249743,35.268906,10.712343,27.803104,8.789914,1.814003,33.454903,26.193632,9.075273,,,,,,,,,,,,3.217137,41.535774,0.634458,0.555766,,,7.218017008,1302.114327,3379.542513,1068.437853,,,,,,77.12002592,67.55490618
169527_NVA_17-001.ILC3.RunDA_19T031219.21.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,20049784,164396,16132,21900,35898,10981,16749,17609,3511,32387,17354,18544,,,,,,,,,,,,4926,66483,1525,356,9.812891,13.321492,21.836298,6.679603,10.188204,10.711331,2.135697,19.700602,10.556218,11.28008,,,,,,,,,,,,2.996423,40.440765,0.927638,0.21655,,,8.660344142,547.6866983,835.3705955,878.2638257,,,,,,76.06066978,17.75580226
169528_NVA_17-001.ILC3.RunDA_19T032516.02.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,8771910,66156,7854,4125,13501,6711,2982,10352,1121,12380,2424,11077,,,,,,,,,,,,4977,44993,1875,281,11.871939,6.235262,20.407824,10.144204,4.507528,15.647862,1.69448,18.713345,3.664067,16.743757,,,,,,,,,,,,7.523127,68.01046,2.83421,0.424754,,,18.11244204,765.055729,339.9487683,1180.130667,,,,,,213.7504831,32.0340724
169529_NVA_17-001.ILC3.RunDA_19T034716.02.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,39238640,377105,48379,83064,118303,26843,61528,41569,18105,100198,73204,45099,,,,,,,,,,,,15587,104358,2826,1737,12.829053,22.026756,31.371368,7.118176,16.31588,11.02319,4.80105,26.570318,19.4121,11.959269,,,,,,,,,,,,4.133332,27.67346,0.749393,0.460614,,,6.798335298,684.0960849,1568.046191,1059.389418,,,,,,72.02084476,44.26758929
169530_NVA_17-001.ILC3.RunDA_19T041660.02.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,40240192,257500,22995,23610,26180,17476,18091,12634,2554,23626,12793,13387,,,,,,,,,,,,11605,75144,1767,894,8.930097,9.168932,10.16699,6.786796,7.025631,4.906408,0.991845,9.175146,4.968155,5.198835,,,,,,,,,,,,4.506796,29.182137,0.686214,0.347184,,,13.98606934,434.2921624,449.5753897,313.9647047,,,,,,43.9113213,22.2165938
169531_NVA_17-001.ILC3.RunDA_19T038508.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,28996710,174825,8023,5759,9994,6717,4453,7713,158,9836,2221,7773,,,,,,,,,,,,6121,55656,1251,638,4.58916,3.294151,5.716574,3.842128,2.547119,4.41184,0.090376,5.626198,1.270413,4.44616,,,,,,,,,,,,3.501215,31.835264,0.715573,0.364936,,,16.21936989,231.6469696,153.5691463,265.995694,,,,,,43.14282551,22.00249615
