"Image Location"|"Image Tag"|"Algorithm Name"|"Start Time"|"Job Id"|"Analysis Region"|"Analysis Inputs"|"TH1 Count"|"ILC1 Count"|"TH1 within 50μm of ILC1"|"% TH1 within 50μm of ILC1"|"Average Distance (μm) to ILC1"|"Number of Unique ILC1"|"Average number of TH1 within 50μm of ILC1"|"TH1 within 0-5μm of ILC1"|"TH1 within 5-10μm of ILC1"|"TH1 within 10-15μm of ILC1"|"TH1 within 15-20μm of ILC1"|"TH1 within 20-25μm of ILC1"|"TH1 within 25-30μm of ILC1"|"TH1 within 30-35μm of ILC1"|"TH1 within 35-40μm of ILC1"|"TH1 within 40-45μm of ILC1"|"TH1 within 45-50μm of ILC1"|"TH2 Count"|"TH2 within 50μm of ILC1"|"% TH2 within 50μm of ILC1"|"Average number of TH2 within 50μm of ILC1"|"TH2 within 0-5μm of ILC1"|"TH2 within 5-10μm of ILC1"|"TH2 within 10-15μm of ILC1"|"TH2 within 15-20μm of ILC1"|"TH2 within 20-25μm of ILC1"|"TH2 within 25-30μm of ILC1"|"TH2 within 30-35μm of ILC1"|"TH2 within 35-40μm of ILC1"|"TH2 within 40-45μm of ILC1"|"TH2 within 45-50μm of ILC1"|"TH17 Count"|"TH17 within 50μm of ILC1"|"% TH17 within 50μm of ILC1"|"Average number of TH17 within 50μm of ILC1"|"TH17 within 0-5μm of ILC1"|"TH17 within 5-10μm of ILC1"|"TH17 within 10-15μm of ILC1"|"TH17 within 15-20μm of ILC1"|"TH17 within 20-25μm of ILC1"|"TH17 within 25-30μm of ILC1"|"TH17 within 30-35μm of ILC1"|"TH17 within 35-40μm of ILC1"|"TH17 within 40-45μm of ILC1"|"TH17 within 45-50μm of ILC1"|"ILC2 Count"|"TH1 within 50μm of ILC2"|"% TH1 within 50μm of ILC2"|"Average Distance (μm) to ILC2"|"Number of Unique ILC2"|"Average number of TH1 within 50μm of ILC2"|"TH1 within 0-5μm of ILC2"|"TH1 within 5-10μm of ILC2"|"TH1 within 10-15μm of ILC2"|"TH1 within 15-20μm of ILC2"|"TH1 within 20-25μm of ILC2"|"TH1 within 25-30μm of ILC2"|"TH1 within 30-35μm of ILC2"|"TH1 within 35-40μm of ILC2"|"TH1 within 40-45μm of ILC2"|"TH1 within 45-50μm of ILC2"|"TH2 within 50μm of ILC2"|"% TH2 within 50μm of ILC2"|"Average number of TH2 within 50μm of ILC2"|"TH2 within 0-5μm of ILC2"|"TH2 within 5-10μm of ILC2"|"TH2 within 10-15μm of ILC2"|"TH2 within 15-20μm of ILC2"|"TH2 within 20-25μm of ILC2"|"TH2 within 25-30μm of ILC2"|"TH2 within 30-35μm of ILC2"|"TH2 within 35-40μm of ILC2"|"TH2 within 40-45μm of ILC2"|"TH2 within 45-50μm of ILC2"|"TH17 within 50μm of ILC2"|"% TH17 within 50μm of ILC2"|"Average number of TH17 within 50μm of ILC2"|"TH17 within 0-5μm of ILC2"|"TH17 within 5-10μm of ILC2"|"TH17 within 10-15μm of ILC2"|"TH17 within 15-20μm of ILC2"|"TH17 within 20-25μm of ILC2"|"TH17 within 25-30μm of ILC2"|"TH17 within 30-35μm of ILC2"|"TH17 within 35-40μm of ILC2"|"TH17 within 40-45μm of ILC2"|"TH17 within 45-50μm of ILC2"|"ILC3 Count"|"TH1 within 50μm of ILC3"|"% TH1 within 50μm of ILC3"|"Average Distance (μm) to ILC3"|"Number of Unique ILC3"|"Average number of TH1 within 50μm of ILC3"|"TH1 within 0-5μm of ILC3"|"TH1 within 5-10μm of ILC3"|"TH1 within 10-15μm of ILC3"|"TH1 within 15-20μm of ILC3"|"TH1 within 20-25μm of ILC3"|"TH1 within 25-30μm of ILC3"|"TH1 within 30-35μm of ILC3"|"TH1 within 35-40μm of ILC3"|"TH1 within 40-45μm of ILC3"|"TH1 within 45-50μm of ILC3"|"TH2 within 50μm of ILC3"|"% TH2 within 50μm of ILC3"|"Average number of TH2 within 50μm of ILC3"|"TH2 within 0-5μm of ILC3"|"TH2 within 5-10μm of ILC3"|"TH2 within 10-15μm of ILC3"|"TH2 within 15-20μm of ILC3"|"TH2 within 20-25μm of ILC3"|"TH2 within 25-30μm of ILC3"|"TH2 within 30-35μm of ILC3"|"TH2 within 35-40μm of ILC3"|"TH2 within 40-45μm of ILC3"|"TH2 within 45-50μm of ILC3"|"TH17 within 50μm of ILC3"|"% TH17 within 50μm of ILC3"|"Average number of TH17 within 50μm of ILC3"|"TH17 within 0-5μm of ILC3"|"TH17 within 5-10μm of ILC3"|"TH17 within 10-15μm of ILC3"|"TH17 within 15-20μm of ILC3"|"TH17 within 20-25μm of ILC3"|"TH17 within 25-30μm of ILC3"|"TH17 within 30-35μm of ILC3"|"TH17 within 35-40μm of ILC3"|"TH17 within 40-45μm of ILC3"|"TH17 within 45-50μm of ILC3"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi"|"178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi"|"Proximity Analysis ILC2 & TH2"|"21/01/2025 18:00:55"|"99771"|"Layer 1"|"Proximity Analysis ILC2 & TH2:;Population:TH2;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"6380"||||||||||||||||||||||||||||"514"|||"53,54"|"485"||||||||||||"3557"|"55,75"|"7,3340206"|"25"|"313"|"350"|"400"|"419"|"457"|"458"|"408"|"388"|"339"|||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi"|"178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi"|"Proximity Analysis ILC2 & TH17"|"21/01/2025 18:01:13"|"99772"|"Layer 1"|"Proximity Analysis ILC2 & TH17:;Population:TH17;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"216"||||||||||||||"514"|||"65,33"|"126"|||||||||||||||||||||||||"92"|"42,59"|"0,73015875"|"0"|"3"|"7"|"11"|"9"|"4"|"12"|"13"|"11"|"22"||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi"|"178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi"|"Proximity Analysis ILC3 & TH1"|"21/01/2025 18:01:36"|"99773"|"Layer 1"|"Proximity Analysis ILC3 & TH1:;Population:TH1;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"1716"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"17"|"39"|"2,27"|"274,8"|"17"|"2,2941177"|"3"|"0"|"4"|"2"|"7"|"4"|"5"|"4"|"5"|"5"||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi"|"178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi"|"Proximity Analysis ILC3 & TH2"|"21/01/2025 18:02:10"|"99774"|"Layer 1"|"Proximity Analysis ILC3 & TH2:;Population:TH2;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"6380"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"17"|||"285,73"|"17"||||||||||||"133"|"2,08"|"7,8235292"|"2"|"5"|"12"|"14"|"13"|"12"|"17"|"20"|"17"|"21"|||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi"|"178937_NVA_17-001.ILC1.RunFL_21T013762.00.czi"|"Proximity Analysis ILC3 & TH17"|"21/01/2025 18:02:34"|"99775"|"Layer 1"|"Proximity Analysis ILC3 & TH17:;Population:TH17;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"216"||||||||||||||||||||||||||||||||||||||||||||||||||||||||"17"|||"235,44"|"17"|||||||||||||||||||||||||"8"|"3,7"|"0,47058824"|"0"|"0"|"0"|"0"|"1"|"1"|"3"|"2"|"0"|"1"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi"|"178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi"|"Proximity Analysis ILC1 & TH1"|"21/01/2025 17:49:04"|"99758"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"36"|"315"|"10"|"27,78"|"84,35"|"30"|"0,33333334"|"0"|"2"|"1"|"0"|"1"|"0"|"1"|"2"|"1"|"2"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi"|"178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi"|"Proximity Analysis ILC1 & TH2"|"21/01/2025 17:49:36"|"99759"|"Layer 1"|"Proximity Analysis ILC1 & TH2:;Population:TH2;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"315"|||"162,14"|"196"||||||||||||"1388"|"126"|"9,08"|"0,64285713"|"1"|"4"|"9"|"12"|"9"|"15"|"19"|"21"|"15"|"21"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi"|"178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi"|"Proximity Analysis ILC1 & TH17"|"21/01/2025 17:50:14"|"99760"|"Layer 1"|"Proximity Analysis ILC1 & TH17:;Population:TH17;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"315"|||"106,76"|"9"||||||||||||||||||||||||||"10"|"3"|"30"|"0,33333334"|"0"|"0"|"1"|"0"|"1"|"0"|"0"|"1"|"0"|"0"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi"|"178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi"|"Proximity Analysis ILC2 & TH1"|"21/01/2025 17:50:50"|"99761"|"Layer 1"|"Proximity Analysis ILC2 & TH1:;Population:TH1;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"36"|||||||||||||||||||||||||||||||||||||||||||||"120"|"6"|"16,67"|"186,91"|"23"|"0,26086956"|"0"|"0"|"0"|"0"|"1"|"0"|"1"|"3"|"1"|"0"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunFL\178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi"|"178938_NVA_17-001.ILC1.RunFL_21T026643.01.czi"|"Proximity Analysis ILC2 & TH2"|"21/01/2025 17:51:37"|"99762"|"Layer 1"|"Proximity Analysis ILC2 & TH2:;Population:TH2;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"1388"||||||||||||||||||||||||||||"120"|||"154,06"|"110"||||||||||||"245"|"17,65"|"2,2272727"|"3"|"35"|"18"|"32"|"24"|"24"|"30"|"32"|"19"|"28"|||||||||||||||||||||||||||||||||||||||||||||||||||||||
