Image Tag,Algorithm Name,Analysis Region,Area Analyzed (µm²),Total Cells,TdT Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,Early T-Cells:TdT+TCR- Cells,Mature T-Cells:TdT-TCR+ Cells,Pool-IL7R Non T:TdT-TCR-IL7R+ Cells,Pool-IL7R Early T:TdT+TCR-IL7R+ Cells,Pool-IL7R Mature T:TdT-TCR+IL7R+ Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+TdT-TCR-IL7R+ Cells,ILC1:TBX+EOMES-TdT-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Cells,T-Helper:TdT-TCR+TBX+EOMES+ Cells,T-Helper:TdT+TCR+TBX+EOMES+ Cells,Immature T-Helper:TdT+TCR-TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+TdT-TCR-IL7R+ Cells,T-Helper:TdT-TCR+GATA+ICOS+ Cells,T-Helper:TdT+TCR+GATA+ICOS+ Cells,Immature T-Helper:TdT+TCR-GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+TdT-TCR-IL7R+ Cells,T-Helper:TdT-TCR+ROR+AHR+ Cells,T-Helper:TdT+TCR+ROR+AHR+ Cells,Immature T-Helper:TdT+TCR-ROR+AHR+ Cells,% TdT Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:TdT+TCR- Positive Cells,% Mature T-Cells:TdT-TCR+ Positive Cells,% Pool-IL7R Non T:TdT-TCR-IL7R+ Positive Cells,% Pool-IL7R Early T:TdT+TCR-IL7R+ Positive Cells,% Pool-IL7R Mature T:TdT-TCR+IL7R+ Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+TdT-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-TdT-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Positive Cells,% T-Helper:TdT-TCR+TBX+EOMES+ Positive Cells,% T-Helper:TdT+TCR+TBX+EOMES+ Positive Cells,% Immature T-Helper:TdT+TCR-TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+GATA+ICOS+ Positive Cells,% T-Helper:TdT+TCR+GATA+ICOS+ Positive Cells,% Immature T-Helper:TdT+TCR-GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+ROR+AHR+ Positive Cells,% T-Helper:TdT+TCR+ROR+AHR+ Positive Cells,% Immature T-Helper:TdT+TCR-ROR+AHR+ Positive Cells,%Pool-TCR+ TH1 Cells,%Pool-TCR+ TH2 Cells,%Pool-TCR+ TH17 Cells,%Pool-TCR+ T-Helper:TdT-TCR+TBX+EOMES+ Cells,%Pool-TCR+ T-Helper:TdT+TCR+TBX+EOMES+ Cells,%Pool-TCR+ Immature T-Helper:TdT+TCR-TBX+EOMES+ Cells,%Pool-TCR+ T-Helper:TdT-TCR+GATA+ICOS+ Cells,%Pool-TCR+ T-Helper:TdT+TCR+GATA+ICOS+ Cells,%Pool-TCR+ Immature T-Helper:TdT+TCR-GATA+ICOS+ Cells,%Pool-TCR+ T-Helper:TdT-TCR+ROR+AHR+ Cells,%Pool-TCR+ T-Helper:TdT+TCR+ROR+AHR+ Cells,%Pool-TCR+ Immature T-Helper:TdT+TCR-ROR+AHR+ Cells,Early T-Cells - Density/mm²,Mature T-Cells - Density/mm²,Pool-IL7R Non T - Density/mm²,Pool-IL7R Early T - Density/mm²,Pool-IL7R Mature T - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 TdT- - Density/mm²,TH1 TdT+ - Density/mm²,Immature TH1 - Density/mm²,ILC2 - Density/mm²,TH2 TdT- - Density/mm²,TH2 TdT+ - Density/mm²,Immature TH2 - Density/mm²,ILC3 - Density/mm²,TH17 TdT- - Density/mm²,TH17 TdT+ - Density/mm²,Immature TH17 - Density/mm²
178698_NVA_17-001.ILC2.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,58121636,684294,204642,56561,274707,174275,26194,93975,129104,22526,,,,,,,,,,341977,31915,4038,7184,8616,8632,,,,,,,29.905567,8.265599,40.144588,25.467854,3.827887,13.733132,18.866745,3.29186,,,,,,,,,,49.975159,4.663931,0.590097,1.049841,1.259108,1.261446,,,,,,,,43.19584166,,,,,12.70133131,15.23311115,15.2613992,,,,2998.453106,450.6755453,1616.86777,2221.272643,387.5665165,,,,,,69.47498863,123.6028525,148.2408375,148.5161223,,,,
178699_NVA_17-001.ILC2.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,21271478,261064,153722,28645,149594,132703,7626,28405,94265,6858,,,,,,,,,,89953,13306,1434,1578,3304,2946,,,,,,,58.882881,10.972405,57.301659,50.831596,2.921123,10.880474,36.108006,2.626942,,,,,,,,,,34.456303,5.096835,0.549291,0.60445,1.26559,1.128459,,,,,,,,27.32763135,,,,,5.508814802,11.53429918,10.28451737,,,,6238.541581,358.5082334,1335.356199,4431.520931,322.403549,,,,,,67.41421541,74.18384374,155.325361,138.4953128,,,,
178700_NVA_17-001.ILC2.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,10314159,161143,59236,79138,107553,13204,33106,23877,10927,27977,,,,,,,,,,28080,18797,87,1079,7681,376,,,,,,,36.759895,49.110416,66.74382,8.193964,20.544485,14.817274,6.780934,17.361599,,,,,,,,,,17.425516,11.664795,0.053989,0.669592,4.766574,0.233333,,,,,,,,11.54439081,,,,,1.363441078,9.705830322,0.475119412,,,,1280.181932,3209.762425,2314.973039,1059.417447,2712.484847,,,,,,8.435006674,104.6134736,744.7044398,36.45474149,,,,
178701_NVA_17-001.ILC2.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,9000396,128160,81461,14822,50562,71818,5179,9513,29189,4390,,,,,,,,,,53275,2924,146,522,556,300,,,,,,,63.561954,11.565231,39.452248,56.037766,4.041042,7.422753,22.775436,3.425406,,,,,,,,,,41.569134,2.281523,0.11392,0.407303,0.433833,0.234082,,,,,,,,9.296990959,,,,,3.521791931,3.751180677,2.024018351,,,,7979.426683,575.419126,1056.953494,3243.079527,487.7563165,,,,,,16.22150848,57.99744811,61.77505968,33.33186673,,,,
178702_NVA_17-001.ILC2.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,26314584,270404,192769,80294,123731,120976,8501,5636,59472,5955,,,,,,,,,,185845,13602,274,1371,8174,2879,,,,,,,71.289253,29.694088,45.757828,44.738983,3.143814,2.084289,21.993757,2.20226,,,,,,,,,,68.728645,5.030251,0.10133,0.507019,3.022884,1.064703,,,,,,,,15.47313622,,,,,1.707475029,10.18008818,3.585573019,,,,4597.298593,323.0527984,214.1778111,2260.039528,226.3003664,,,,,,10.41247697,52.10038661,310.6262292,109.4070117,,,,
178703_NVA_17-001.ILC2.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC2-Default,Cortex,9786802,131574,20138,49844,93597,11024,40730,36942,7601,40254,,,,,,,,,,44263,15117,1227,5305,3474,1026,,,,,,,15.305455,37.882866,71.136398,8.378555,30.955963,28.076975,5.776977,30.594191,,,,,,,,,,33.641144,11.489352,0.932555,4.031951,2.640339,0.779789,,,,,,,,19.67137469,,,,,10.64320681,6.969745606,2.058422278,,,,1126.414941,4161.727191,3774.675323,776.6581974,4113.090262,,,,,,125.3729257,542.056537,354.9678434,104.8350626,,,,
178704_NVA_17-001.ILC3.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,32803066,481394,18649,378,8944,18559,288,6167,2627,109,,,,,,,,,,,,,,,,13003,50,1,1,0,6,3.873958,0.078522,1.857938,3.855262,0.059826,1.281071,0.545707,0.022643,,,,,,,,,,,,,,,,2.701114,0.010387,0.000208,0.000208,0,0.001246,,,1.851851852,,,,,,,0.264550265,0,1.587301587,565.770285,8.77966712,188.0007192,80.08397752,3.322860125,,,,,,,,,,0.030484955,0.030484955,0,0.182909732
178705_NVA_17-001.ILC3.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,22632714,279421,44219,13425,45886,40515,9721,21274,15590,6083,,,,,,,,,,,,,,,,70341,6004,162,76,182,1055,15.825224,4.804578,16.421816,14.499626,3.47898,7.613601,5.579394,2.177002,,,,,,,,,,,,,,,,25.173841,2.148729,0.057977,0.027199,0.065135,0.377566,,,9.780260708,,,,,,,0.566108007,1.355679702,7.858472998,1790.107894,429.5110167,939.9668109,688.8259181,268.7702412,,,,,,,,,,7.157780547,3.357971121,8.041457158,46.61394122
178706_NVA_17-001.ILC3.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,58538692,680594,217251,56801,268661,187654,27204,90802,131448,19970,,,,,,,,,,,,,,,,360825,20389,1433,781,1788,5062,31.920794,8.345798,39.474487,27.572092,3.997097,13.341581,19.313717,2.934201,,,,,,,,,,,,,,,,53.01619,2.995765,0.210551,0.114753,0.262712,0.743762,,,13.43462263,,,,,,,1.374975793,3.147831904,8.911814933,3205.640468,464.7182756,1551.14501,2245.489189,341.1418895,,,,,,,,,,24.47953569,13.34160319,30.54390078,86.47272132
178707_NVA_17-001.ILC3.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,20389856,255608,61973,10867,110276,58531,7425,59588,41466,5977,,,,,,,,,,,,,,,,59042,4533,392,42,139,772,24.245329,4.251432,43.142624,22.898735,2.904839,23.31226,16.222496,2.338346,,,,,,,,,,,,,,,,23.098652,1.773419,0.15336,0.016431,0.05438,0.302025,,,8.769669642,,,,,,,0.386491212,1.279101868,7.104076562,2870.594084,364.1516644,2922.433587,2033.658305,293.1359594,,,,,,,,,,19.22524612,2.059847799,6.817115334,37.8619643
178708_NVA_17-001.ILC3.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,10430702,160304,82502,85204,110628,20750,23452,16064,14761,19843,,,,,,,,,,,,,,,,58616,39212,387,879,17537,1995,51.465965,53.151512,69.011375,12.944156,14.629704,10.02096,9.20813,12.378356,,,,,,,,,,,,,,,,36.565525,24.461023,0.241416,0.548333,10.939839,1.24451,,,23.9554481,,,,,,,1.031641707,20.58236703,2.341439369,1989.319607,2248.362574,1540.068923,1415.149239,1902.364769,,,,,,,,,,37.10200905,84.27045466,1681.286648,191.2622947
178709_NVA_17-001.ILC3.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,9174243,130678,85436,11747,36851,76860,3171,6666,22180,2354,,,,,,,,,,,,,,,,52433,11501,85,38,714,2404,65.379021,8.989271,28.19985,58.816326,2.426575,5.101088,16.973017,1.801374,,,,,,,,,,,,,,,,40.123817,8.801023,0.065045,0.029079,0.546381,1.839636,,,26.86643398,,,,,,,0.323486848,6.078147612,20.46479952,8377.802942,345.6415968,726.5994589,2417.638164,256.5879277,,,,,,,,,,9.265069608,4.142031119,77.82658471,262.0379687
178710_NVA_17-001.ILC3.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,24214252,246817,165753,92475,170670,88528,15250,12084,71830,12778,,,,,,,,,,,,,,,,137517,41953,296,534,17012,12302,67.156235,37.46703,69.148399,35.86787,6.178667,4.895935,29.102533,5.177115,,,,,,,,,,,,,,,,55.716179,16.997614,0.119927,0.216355,6.892556,4.98426,,,32.27683158,,,,,,,0.577453366,18.39632333,13.30305488,3656.028689,629.7943872,499.0449426,2966.434809,527.7057495,,,,,,,,,,12.22420581,22.05312805,702.5614502,508.047905
178711_NVA_17-001.ILC3.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC3-Default,Cortex,9721228,133072,18644,30465,85121,12537,24358,47018,8236,24020,,,,,,,,,,,,,,,,15689,23971,443,200,2282,2245,14.010461,22.893621,63.966125,9.421216,18.304377,35.332752,6.189131,18.050379,,,,,,,,,,,,,,,,11.789858,18.013557,0.332902,0.150295,1.714861,1.687057,,,15.51616609,,,,,,,0.656491055,7.490562941,7.369112096,1289.651883,2505.650521,4836.631751,847.2180675,2470.881251,,,,,,,,,,45.57037444,20.57353248,234.7440056,230.9379021
