"Image Location"|"Image Tag"|"Algorithm Name"|"Start Time"|"Job Id"|"Analysis Region"|"Analysis Inputs"|"TH1 Count"|"ILC1 Count"|"TH1 within 50μm of ILC1"|"% TH1 within 50μm of ILC1"|"Average Distance (μm) to ILC1"|"Number of Unique ILC1"|"Average number of TH1 within 50μm of ILC1"|"TH1 within 0-5μm of ILC1"|"TH1 within 5-10μm of ILC1"|"TH1 within 10-15μm of ILC1"|"TH1 within 15-20μm of ILC1"|"TH1 within 20-25μm of ILC1"|"TH1 within 25-30μm of ILC1"|"TH1 within 30-35μm of ILC1"|"TH1 within 35-40μm of ILC1"|"TH1 within 40-45μm of ILC1"|"TH1 within 45-50μm of ILC1"|"TH2 Count"|"TH2 within 50μm of ILC1"|"% TH2 within 50μm of ILC1"|"Average number of TH2 within 50μm of ILC1"|"TH2 within 0-5μm of ILC1"|"TH2 within 5-10μm of ILC1"|"TH2 within 10-15μm of ILC1"|"TH2 within 15-20μm of ILC1"|"TH2 within 20-25μm of ILC1"|"TH2 within 25-30μm of ILC1"|"TH2 within 30-35μm of ILC1"|"TH2 within 35-40μm of ILC1"|"TH2 within 40-45μm of ILC1"|"TH2 within 45-50μm of ILC1"|"TH17 Count"|"TH17 within 50μm of ILC1"|"% TH17 within 50μm of ILC1"|"Average number of TH17 within 50μm of ILC1"|"TH17 within 0-5μm of ILC1"|"TH17 within 5-10μm of ILC1"|"TH17 within 10-15μm of ILC1"|"TH17 within 15-20μm of ILC1"|"TH17 within 20-25μm of ILC1"|"TH17 within 25-30μm of ILC1"|"TH17 within 30-35μm of ILC1"|"TH17 within 35-40μm of ILC1"|"TH17 within 40-45μm of ILC1"|"TH17 within 45-50μm of ILC1"|"ILC2 Count"|"TH1 within 50μm of ILC2"|"% TH1 within 50μm of ILC2"|"Average Distance (μm) to ILC2"|"Number of Unique ILC2"|"Average number of TH1 within 50μm of ILC2"|"TH1 within 0-5μm of ILC2"|"TH1 within 5-10μm of ILC2"|"TH1 within 10-15μm of ILC2"|"TH1 within 15-20μm of ILC2"|"TH1 within 20-25μm of ILC2"|"TH1 within 25-30μm of ILC2"|"TH1 within 30-35μm of ILC2"|"TH1 within 35-40μm of ILC2"|"TH1 within 40-45μm of ILC2"|"TH1 within 45-50μm of ILC2"|"TH2 within 50μm of ILC2"|"% TH2 within 50μm of ILC2"|"Average number of TH2 within 50μm of ILC2"|"TH2 within 0-5μm of ILC2"|"TH2 within 5-10μm of ILC2"|"TH2 within 10-15μm of ILC2"|"TH2 within 15-20μm of ILC2"|"TH2 within 20-25μm of ILC2"|"TH2 within 25-30μm of ILC2"|"TH2 within 30-35μm of ILC2"|"TH2 within 35-40μm of ILC2"|"TH2 within 40-45μm of ILC2"|"TH2 within 45-50μm of ILC2"|"TH17 within 50μm of ILC2"|"% TH17 within 50μm of ILC2"|"Average number of TH17 within 50μm of ILC2"|"TH17 within 0-5μm of ILC2"|"TH17 within 5-10μm of ILC2"|"TH17 within 10-15μm of ILC2"|"TH17 within 15-20μm of ILC2"|"TH17 within 20-25μm of ILC2"|"TH17 within 25-30μm of ILC2"|"TH17 within 30-35μm of ILC2"|"TH17 within 35-40μm of ILC2"|"TH17 within 40-45μm of ILC2"|"TH17 within 45-50μm of ILC2"|"ILC3 Count"|"TH1 within 50μm of ILC3"|"% TH1 within 50μm of ILC3"|"Average Distance (μm) to ILC3"|"Number of Unique ILC3"|"Average number of TH1 within 50μm of ILC3"|"TH1 within 0-5μm of ILC3"|"TH1 within 5-10μm of ILC3"|"TH1 within 10-15μm of ILC3"|"TH1 within 15-20μm of ILC3"|"TH1 within 20-25μm of ILC3"|"TH1 within 25-30μm of ILC3"|"TH1 within 30-35μm of ILC3"|"TH1 within 35-40μm of ILC3"|"TH1 within 40-45μm of ILC3"|"TH1 within 45-50μm of ILC3"|"TH2 within 50μm of ILC3"|"% TH2 within 50μm of ILC3"|"Average number of TH2 within 50μm of ILC3"|"TH2 within 0-5μm of ILC3"|"TH2 within 5-10μm of ILC3"|"TH2 within 10-15μm of ILC3"|"TH2 within 15-20μm of ILC3"|"TH2 within 20-25μm of ILC3"|"TH2 within 25-30μm of ILC3"|"TH2 within 30-35μm of ILC3"|"TH2 within 35-40μm of ILC3"|"TH2 within 40-45μm of ILC3"|"TH2 within 45-50μm of ILC3"|"TH17 within 50μm of ILC3"|"% TH17 within 50μm of ILC3"|"Average number of TH17 within 50μm of ILC3"|"TH17 within 0-5μm of ILC3"|"TH17 within 5-10μm of ILC3"|"TH17 within 10-15μm of ILC3"|"TH17 within 15-20μm of ILC3"|"TH17 within 20-25μm of ILC3"|"TH17 within 25-30μm of ILC3"|"TH17 within 30-35μm of ILC3"|"TH17 within 35-40μm of ILC3"|"TH17 within 40-45μm of ILC3"|"TH17 within 45-50μm of ILC3"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"Proximity Analysis ILC1 & TH2"|"20/01/2025 20:10:04"|"99540"|"Layer 1"|"Proximity Analysis ILC1 & TH2:;Population:TH2;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"731"|||"102,94"|"267"||||||||||||"1404"|"516"|"36,75"|"1,9325843"|"6"|"18"|"40"|"52"|"56"|"67"|"64"|"78"|"70"|"65"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"Proximity Analysis ILC1 & TH17"|"20/01/2025 20:12:03"|"99541"|"Layer 1"|"Proximity Analysis ILC1 & TH17:;Population:TH17;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"731"|||"106,66"|"72"||||||||||||||||||||||||||"108"|"65"|"60,19"|"0,9027778"|"1"|"5"|"6"|"8"|"11"|"7"|"7"|"9"|"8"|"3"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"Proximity Analysis ILC2 & TH1"|"20/01/2025 20:13:39"|"99542"|"Layer 1"|"Proximity Analysis ILC2 & TH1:;Population:TH1;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"12"|||||||||||||||||||||||||||||||||||||||||||||"1260"|"6"|"50"|"72,07"|"11"|"0,54545456"|"0"|"0"|"1"|"2"|"1"|"0"|"1"|"0"|"0"|"1"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"Proximity Analysis ILC2 & TH2"|"20/01/2025 20:15:12"|"99543"|"Layer 1"|"Proximity Analysis ILC2 & TH2:;Population:TH2;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"1404"||||||||||||||||||||||||||||"1260"|||"43,65"|"684"||||||||||||"1108"|"78,92"|"1,6198831"|"35"|"288"|"210"|"153"|"136"|"89"|"74"|"44"|"50"|"29"|||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"Proximity Analysis ILC2 & TH17"|"20/01/2025 20:16:21"|"99544"|"Layer 1"|"Proximity Analysis ILC2 & TH17:;Population:TH17;Within:50;Population 2:ILC2;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"108"||||||||||||||"1260"|||"97,32"|"72"|||||||||||||||||||||||||"46"|"42,59"|"0,6388889"|"2"|"7"|"4"|"4"|"9"|"7"|"5"|"4"|"1"|"3"||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"Proximity Analysis ILC3 & TH1"|"20/01/2025 20:17:49"|"99545"|"Layer 1"|"Proximity Analysis ILC3 & TH1:;Population:TH1;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"12"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"291"|"3"|"25"|"139,05"|"9"|"0,33333334"|"0"|"0"|"0"|"0"|"0"|"3"|"0"|"0"|"0"|"0"||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"Proximity Analysis ILC3 & TH2"|"20/01/2025 20:19:13"|"99546"|"Layer 1"|"Proximity Analysis ILC3 & TH2:;Population:TH2;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||"1404"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"291"|||"213,62"|"138"||||||||||||"271"|"19,3"|"1,9637681"|"5"|"12"|"9"|"24"|"27"|"31"|"40"|"43"|"40"|"40"|||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi"|"Proximity Analysis ILC3 & TH17"|"20/01/2025 20:20:41"|"99547"|"Layer 1"|"Proximity Analysis ILC3 & TH17:;Population:TH17;Within:50;Population 2:ILC3;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||||||||||||||||||||||||||||||||"108"||||||||||||||||||||||||||||||||||||||||||||||||||||||||"291"|||"76,18"|"74"|||||||||||||||||||||||||"62"|"57,41"|"0,8378378"|"2"|"16"|"7"|"7"|"5"|"6"|"9"|"3"|"4"|"3"
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168528_NVA_17-001.ILC1.RunAA_20T031119.02.czi"|"168528_NVA_17-001.ILC1.RunAA_20T031119.02.czi"|"Proximity Analysis ILC1 & TH1"|"20/01/2025 20:30:50"|"99548"|"Layer 1"|"Proximity Analysis ILC1 & TH1:;Population:TH1;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"|"79"|"1635"|"50"|"63,29"|"49,79"|"70"|"0,71428573"|"2"|"4"|"3"|"3"|"6"|"6"|"6"|"8"|"5"|"7"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"\\srvnas01.icr.local\anapath\Imagin_Data\VAN ACKER Nathalie\17-001.ILC1.RunAA\168528_NVA_17-001.ILC1.RunAA_20T031119.02.czi"|"168528_NVA_17-001.ILC1.RunAA_20T031119.02.czi"|"Proximity Analysis ILC1 & TH2"|"20/01/2025 20:32:02"|"99549"|"Layer 1"|"Proximity Analysis ILC1 & TH2:;Population:TH2;Within:50;Population 2:ILC1;Number of Bands:10;Store Object (Pair) Data:False;Generate Markup Image:False"||"1635"|||"104,52"|"1469"||||||||||||"47557"|"12593"|"26,48"|"8,572498"|"185"|"532"|"832"|"1137"|"1335"|"1566"|"1711"|"1749"|"1763"|"1783"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
