ID,Phenotypes,Value
1.0,NK/ILC1ie,1.32
2.0,NK/ILC1ie,1.59
3.0,NK/ILC1ie,0.71
4.0,NK/ILC1ie,0.35
5.0,NK/ILC1ie,0.27
