Image Tag,Analysis Region,Phenotypes,# Cells / mm²
173948_SPLEEN_ILC3,Red pulp,ILC3,15.29867333
173949_SPLEEN_ILC3,Red pulp,ILC3,8.291658769
173926_SPLEEN_ILC1,Red pulp,TH1,173.150448
173927_SPLEEN_ILC1,Red pulp,TH1,131.477018
173928_SPLEEN_ILC1,Red pulp,TH1,1.789449976
173929_SPLEEN_ILC1,Red pulp,TH1,7.9638151
173930_SPLEEN_ILC1,Red pulp,TH1,43.48862043
173931_SPLEEN_ILC1,Red pulp,TH1,14.16421382
173932_SPLEEN_ILC1,Red pulp,TH1,25.88965325
173933_SPLEEN_ILC1,Red pulp,TH1,47.9851726
173934_SPLEEN_ILC2,Red pulp,TH2,1.548846405
173935_SPLEEN_ILC2,Red pulp,TH2,1.002385461
173936_SPLEEN_ILC2,Red pulp,TH2,0.106387931
173937_SPLEEN_ILC2,Red pulp,TH2,1.106033053
173938_SPLEEN_ILC2,Red pulp,TH2,1.13587077
173939_SPLEEN_ILC2,Red pulp,TH2,1.702064368
173940_SPLEEN_ILC2,Red pulp,TH2,1.278614541
173941_SPLEEN_ILC2,Red pulp,TH2,3.02690256
173942_SPLEEN_ILC3,Red pulp,TH17,8.677355516
173943_SPLEEN_ILC3,Red pulp,TH17,187.9455201
173944_SPLEEN_ILC3,Red pulp,TH17,1.883440687
173945_SPLEEN_ILC3,Red pulp,TH17,21.46250949
173946_SPLEEN_ILC3,Red pulp,TH17,45.93603661
173947_SPLEEN_ILC3,Red pulp,TH17,19.47378067
173948_SPLEEN_ILC3,Red pulp,TH17,21.7451659
173949_SPLEEN_ILC3,Red pulp,TH17,18.43371596
