Image Tag,Analysis Region,Phenotypes,# Cells / mm²
169515_APPENDIX_ILC1,Germinal center,ILC1,6.678383128
169516_APPENDIX_ILC2,Germinal center,ILC2,14.47368421
169517_APPENDIX_ILC2,Germinal center,ILC2,9.349593496
169518_APPENDIX_ILC2,Germinal center,ILC2,9.738884968
169519_APPENDIX_ILC2,Germinal center,ILC2,3.03030303
169520_APPENDIX_ILC2,Germinal center,ILC2,17.34417344
169521_APPENDIX_ILC2,Germinal center,ILC2,0.817438692
169522_APPENDIX_ILC2,Germinal center,ILC2,12.5
169523_APPENDIX_ILC2,Germinal center,ILC2,4.093567251
169524_APPENDIX_ILC3,Germinal center,ILC3,13.43283582
169525_APPENDIX_ILC3,Germinal center,ILC3,3.614457831
169526_APPENDIX_ILC3,Germinal center,ILC3,7.514124294
169527_APPENDIX_ILC3,Germinal center,ILC3,3.03030303
169528_APPENDIX_ILC3,Germinal center,ILC3,7.37913486
169529_APPENDIX_ILC3,Germinal center,ILC3,4.388714734
169530_APPENDIX_ILC3,Germinal center,ILC3,10.0
169531_APPENDIX_ILC3,Germinal center,ILC3,12.63616558
169508_APPENDIX_ILC1,Extra-follicular zone,ILC1,14.77363409
169509_APPENDIX_ILC1,Extra-follicular zone,ILC1,5.73057675
169510_APPENDIX_ILC1,Extra-follicular zone,ILC1,12.96579063
169511_APPENDIX_ILC1,Extra-follicular zone,ILC1,3.929894299
169512_APPENDIX_ILC1,Extra-follicular zone,ILC1,11.30176539
169513_APPENDIX_ILC1,Extra-follicular zone,ILC1,7.124268055
169514_APPENDIX_ILC1,Extra-follicular zone,ILC1,7.196290153
169515_APPENDIX_ILC1,Extra-follicular zone,ILC1,16.82044003
169516_APPENDIX_ILC2,Extra-follicular zone,ILC2,3.008678881
169517_APPENDIX_ILC2,Extra-follicular zone,ILC2,6.25203252
169518_APPENDIX_ILC2,Extra-follicular zone,ILC2,4.852985753
169519_APPENDIX_ILC2,Extra-follicular zone,ILC2,1.562972673
169520_APPENDIX_ILC2,Extra-follicular zone,ILC2,6.438234423
169521_APPENDIX_ILC2,Extra-follicular zone,ILC2,0.566744873
169522_APPENDIX_ILC2,Extra-follicular zone,ILC2,2.078801064
169523_APPENDIX_ILC2,Extra-follicular zone,ILC2,2.26972816
169524_APPENDIX_ILC3,Extra-follicular zone,ILC3,24.14965986
169525_APPENDIX_ILC3,Extra-follicular zone,ILC3,5.18783542
169526_APPENDIX_ILC3,Extra-follicular zone,ILC3,7.210098003
