Image Tag,Analysis Region,Phenotypes,# Cells / mm²
169526_APPENDIX_ILC3,Extra-follicular zone,ILC3,87.05754462
169527_APPENDIX_ILC3,Extra-follicular zone,ILC3,77.50039462
169528_APPENDIX_ILC3,Extra-follicular zone,ILC3,216.696348
169529_APPENDIX_ILC3,Extra-follicular zone,ILC3,72.89818612
169530_APPENDIX_ILC3,Extra-follicular zone,ILC3,44.63239304
169531_APPENDIX_ILC3,Extra-follicular zone,ILC3,42.75478552
169508_APPENDIX_ILC1,Extra-follicular zone,TH1,3.352193109
169509_APPENDIX_ILC1,Extra-follicular zone,TH1,7.9246828
169510_APPENDIX_ILC1,Extra-follicular zone,TH1,101.0128396
169511_APPENDIX_ILC1,Extra-follicular zone,TH1,1.736151587
169512_APPENDIX_ILC1,Extra-follicular zone,TH1,2.190151993
169513_APPENDIX_ILC1,Extra-follicular zone,TH1,1.107225807
169514_APPENDIX_ILC1,Extra-follicular zone,TH1,1.145114159
169515_APPENDIX_ILC1,Extra-follicular zone,TH1,0.214711241
169516_APPENDIX_ILC2,Extra-follicular zone,TH2,145.1333364
169517_APPENDIX_ILC2,Extra-follicular zone,TH2,386.8961447
169518_APPENDIX_ILC2,Extra-follicular zone,TH2,1091.912251
169519_APPENDIX_ILC2,Extra-follicular zone,TH2,63.6848409
169520_APPENDIX_ILC2,Extra-follicular zone,TH2,61.61851768
169521_APPENDIX_ILC2,Extra-follicular zone,TH2,189.3724918
169522_APPENDIX_ILC2,Extra-follicular zone,TH2,60.28474683
169523_APPENDIX_ILC2,Extra-follicular zone,TH2,12.94586652
169524_APPENDIX_ILC3,Extra-follicular zone,TH17,31.42552801
169525_APPENDIX_ILC3,Extra-follicular zone,TH17,45.62885888
169526_APPENDIX_ILC3,Extra-follicular zone,TH17,78.23509103
169527_APPENDIX_ILC3,Extra-follicular zone,TH17,18.10376672
169528_APPENDIX_ILC3,Extra-follicular zone,TH17,32.04664301
169529_APPENDIX_ILC3,Extra-follicular zone,TH17,44.38182597
169530_APPENDIX_ILC3,Extra-follicular zone,TH17,22.46800738
169531_APPENDIX_ILC3,Extra-follicular zone,TH17,18.36447163
169898_ILEUM_ILC1,Germinal center,NK/ILC1ie,0.0
169899_ILEUM_ILC1,Germinal center,NK/ILC1ie,1.621314613
169900_ILEUM_ILC1,Germinal center,NK/ILC1ie,0.0
169901_ILEUM_ILC1,Germinal center,NK/ILC1ie,0.0
169902_ILEUM_ILC1,Germinal center,NK/ILC1ie,0.604467316
169903_ILEUM_ILC1,Germinal center,NK/ILC1ie,0.874993793
169904_ILEUM_ILC1,Germinal center,NK/ILC1ie,0.0
169905_ILEUM_ILC1,Germinal center,NK/ILC1ie,0.0
169898_ILEUM_ILC1,Germinal center,ILC1,0.428231825
169899_ILEUM_ILC1,Germinal center,ILC1,141.0543713
169900_ILEUM_ILC1,Germinal center,ILC1,7.934834182
169901_ILEUM_ILC1,Germinal center,ILC1,70.89200147
169902_ILEUM_ILC1,Germinal center,ILC1,49.9692981
169903_ILEUM_ILC1,Germinal center,ILC1,90.99935447
169904_ILEUM_ILC1,Germinal center,ILC1,4.445620373
169905_ILEUM_ILC1,Germinal center,ILC1,127.111495
169906_ILEUM_ILC2,Germinal center,ILC2,0.0
169907_ILEUM_ILC2,Germinal center,ILC2,3.205039925
169908_ILEUM_ILC2,Germinal center,ILC2,31.39472347
169909_ILEUM_ILC2,Germinal center,ILC2,20.88944804
169910_ILEUM_ILC2,Germinal center,ILC2,54.58828879
169911_ILEUM_ILC2,Germinal center,ILC2,102.307918
169912_ILEUM_ILC2,Germinal center,ILC2,70.64467961
169913_ILEUM_ILC2,Germinal center,ILC2,10.85521966
169914_ILEUM_ILC3,Germinal center,ILC3,4.80057799
169915_ILEUM_ILC3,Germinal center,ILC3,36.12599969
169916_ILEUM_ILC3,Germinal center,ILC3,115.7487858
169917_ILEUM_ILC3,Germinal center,ILC3,15.7361442
169918_ILEUM_ILC3,Germinal center,ILC3,6.145370585
169919_ILEUM_ILC3,Germinal center,ILC3,119.596751
169920_ILEUM_ILC3,Germinal center,ILC3,0.0
169921_ILEUM_ILC3,Germinal center,ILC3,60.64179595
169898_ILEUM_ILC1,Germinal center,TH1,0.0
169899_ILEUM_ILC1,Germinal center,TH1,6.48525845
169900_ILEUM_ILC1,Germinal center,TH1,0.0
169901_ILEUM_ILC1,Germinal center,TH1,25.15522633
169902_ILEUM_ILC1,Germinal center,TH1,6.850629578
169903_ILEUM_ILC1,Germinal center,TH1,12.2499131
169904_ILEUM_ILC1,Germinal center,TH1,0.0
169905_ILEUM_ILC1,Germinal center,TH1,15.08102483
169906_ILEUM_ILC2,Germinal center,TH2,1.763496007
169907_ILEUM_ILC2,Germinal center,TH2,237.1729545
169908_ILEUM_ILC2,Germinal center,TH2,102.0328513
169909_ILEUM_ILC2,Germinal center,TH2,485.0994044
169910_ILEUM_ILC2,Germinal center,TH2,701.4697335
169911_ILEUM_ILC2,Germinal center,TH2,175.7597565
169912_ILEUM_ILC2,Germinal center,TH2,154.5352367
169913_ILEUM_ILC2,Germinal center,TH2,449.406094
169914_ILEUM_ILC3,Germinal center,TH17,0.0
169915_ILEUM_ILC3,Germinal center,TH17,24.63136342
169916_ILEUM_ILC3,Germinal center,TH17,46.29951433
169917_ILEUM_ILC3,Germinal center,TH17,44.96041201
169918_ILEUM_ILC3,Germinal center,TH17,18.23126607
169919_ILEUM_ILC3,Germinal center,TH17,26.86593681
169920_ILEUM_ILC3,Germinal center,TH17,4.40365407
169921_ILEUM_ILC3,Germinal center,TH17,62.80757438
169898_ILEUM_ILC1,Extra-follicular zone,NK/ILC1ie,0.228781227
169899_ILEUM_ILC1,Extra-follicular zone,NK/ILC1ie,0.267494201
169900_ILEUM_ILC1,Extra-follicular zone,NK/ILC1ie,0.392789176
169901_ILEUM_ILC1,Extra-follicular zone,NK/ILC1ie,1.072856794
169902_ILEUM_ILC1,Extra-follicular zone,NK/ILC1ie,1.851603521
169903_ILEUM_ILC1,Extra-follicular zone,NK/ILC1ie,1.45495246
169904_ILEUM_ILC1,Extra-follicular zone,NK/ILC1ie,0.035280173
169905_ILEUM_ILC1,Extra-follicular zone,NK/ILC1ie,0.0
169898_ILEUM_ILC1,Extra-follicular zone,ILC1,17.36449517
169899_ILEUM_ILC1,Extra-follicular zone,ILC1,58.48091969
169900_ILEUM_ILC1,Extra-follicular zone,ILC1,90.89796188
169901_ILEUM_ILC1,Extra-follicular zone,ILC1,175.3018608
169902_ILEUM_ILC1,Extra-follicular zone,ILC1,221.960972
