Image Tag,Analysis Region,Phenotypes,# Cells / mm²
178701_THYMUS_ILC2,Medulla,IL7R Non T,3099.644032
178702_THYMUS_ILC2,Medulla,IL7R Non T,2290.647425
178703_THYMUS_ILC2,Medulla,IL7R Non T,4254.189854
178704_THYMUS_ILC3,Medulla,IL7R Non T,1403.357064
178705_THYMUS_ILC3,Medulla,IL7R Non T,1754.071682
178706_THYMUS_ILC3,Medulla,IL7R Non T,2678.853603
178707_THYMUS_ILC3,Medulla,IL7R Non T,3854.68692
178708_THYMUS_ILC3,Medulla,IL7R Non T,1793.100814
178709_THYMUS_ILC3,Medulla,IL7R Non T,2036.839621
178710_THYMUS_ILC3,Medulla,IL7R Non T,2186.840104
178711_THYMUS_ILC3,Medulla,IL7R Non T,6441.555953
178688_THYMUS_ILC1,Medulla,IL7R Immature T,39.32474773
178689_THYMUS_ILC1,Medulla,IL7R Immature T,735.7721235
178690_THYMUS_ILC1,Medulla,IL7R Immature T,1014.259967
178691_THYMUS_ILC1,Medulla,IL7R Immature T,841.3600273
178692_THYMUS_ILC1,Medulla,IL7R Immature T,324.2538109
178693_THYMUS_ILC1,Medulla,IL7R Immature T,929.4476022
178694_THYMUS_ILC1,Medulla,IL7R Immature T,628.4803929
178695_THYMUS_ILC1,Medulla,IL7R Immature T,49.28786231
178696_THYMUS_ILC2,Medulla,IL7R Immature T,270.4185624
178697_THYMUS_ILC2,Medulla,IL7R Immature T,254.9402886
178698_THYMUS_ILC2,Medulla,IL7R Immature T,1102.213432
178699_THYMUS_ILC2,Medulla,IL7R Immature T,1001.107499
178700_THYMUS_ILC2,Medulla,IL7R Immature T,175.1582179
178701_THYMUS_ILC2,Medulla,IL7R Immature T,798.7822311
178702_THYMUS_ILC2,Medulla,IL7R Immature T,412.3490049
178703_THYMUS_ILC2,Medulla,IL7R Immature T,93.10787289
178704_THYMUS_ILC3,Medulla,IL7R Immature T,147.3468678
178705_THYMUS_ILC3,Medulla,IL7R Immature T,248.0312688
178706_THYMUS_ILC3,Medulla,IL7R Immature T,1094.425912
178707_THYMUS_ILC3,Medulla,IL7R Immature T,612.3575637
178708_THYMUS_ILC3,Medulla,IL7R Immature T,374.4239405
178709_THYMUS_ILC3,Medulla,IL7R Immature T,602.9758742
178710_THYMUS_ILC3,Medulla,IL7R Immature T,656.4425383
178711_THYMUS_ILC3,Medulla,IL7R Immature T,137.077377
178688_THYMUS_ILC1,Medulla,IL7R Mature T,140.6270922
178689_THYMUS_ILC1,Medulla,IL7R Mature T,4181.848378
178690_THYMUS_ILC1,Medulla,IL7R Mature T,3312.051405
178691_THYMUS_ILC1,Medulla,IL7R Mature T,2237.749318
178692_THYMUS_ILC1,Medulla,IL7R Mature T,7211.562287
178693_THYMUS_ILC1,Medulla,IL7R Mature T,2176.261551
178694_THYMUS_ILC1,Medulla,IL7R Mature T,5526.842334
178695_THYMUS_ILC1,Medulla,IL7R Mature T,8255.429264
178696_THYMUS_ILC2,Medulla,IL7R Mature T,566.2721571
178697_THYMUS_ILC2,Medulla,IL7R Mature T,2281.735678
178698_THYMUS_ILC2,Medulla,IL7R Mature T,2508.736704
178699_THYMUS_ILC2,Medulla,IL7R Mature T,1764.394008
178700_THYMUS_ILC2,Medulla,IL7R Mature T,6880.554313
178701_THYMUS_ILC2,Medulla,IL7R Mature T,1603.54785
178702_THYMUS_ILC2,Medulla,IL7R Mature T,3810.710883
178703_THYMUS_ILC2,Medulla,IL7R Mature T,8346.289803
178704_THYMUS_ILC3,Medulla,IL7R Mature T,146.2220825
178705_THYMUS_ILC3,Medulla,IL7R Mature T,1784.326046
178706_THYMUS_ILC3,Medulla,IL7R Mature T,2390.287155
178707_THYMUS_ILC3,Medulla,IL7R Mature T,1328.1405
178708_THYMUS_ILC3,Medulla,IL7R Mature T,6616.131209
178709_THYMUS_ILC3,Medulla,IL7R Mature T,901.986507
178710_THYMUS_ILC3,Medulla,IL7R Mature T,4924.490559
178711_THYMUS_ILC3,Medulla,IL7R Mature T,4793.745381
178688_THYMUS_ILC1,Cortex,Immature T,313.570867
178689_THYMUS_ILC1,Cortex,Immature T,2617.536362
178690_THYMUS_ILC1,Cortex,Immature T,3052.441057
178691_THYMUS_ILC1,Cortex,Immature T,3884.857601
178692_THYMUS_ILC1,Cortex,Immature T,2162.350719
178693_THYMUS_ILC1,Cortex,Immature T,7835.647892
178694_THYMUS_ILC1,Cortex,Immature T,3827.501654
178695_THYMUS_ILC1,Cortex,Immature T,1137.40606
178696_THYMUS_ILC2,Cortex,Immature T,795.8473874
178697_THYMUS_ILC2,Cortex,Immature T,1855.221291
178698_THYMUS_ILC2,Cortex,Immature T,2998.453106
178699_THYMUS_ILC2,Cortex,Immature T,6238.541581
178700_THYMUS_ILC2,Cortex,Immature T,1280.181932
178701_THYMUS_ILC2,Cortex,Immature T,7979.426683
178702_THYMUS_ILC2,Cortex,Immature T,4597.298593
178703_THYMUS_ILC2,Cortex,Immature T,1126.414941
178704_THYMUS_ILC3,Cortex,Immature T,565.770285
178705_THYMUS_ILC3,Cortex,Immature T,1790.107894
178706_THYMUS_ILC3,Cortex,Immature T,3205.640468
178707_THYMUS_ILC3,Cortex,Immature T,2870.594084
178708_THYMUS_ILC3,Cortex,Immature T,1989.319607
178709_THYMUS_ILC3,Cortex,Immature T,8377.802942
178710_THYMUS_ILC3,Cortex,Immature T,3656.028689
178711_THYMUS_ILC3,Cortex,Immature T,1289.651883
178688_THYMUS_ILC1,Cortex,Mature T,8.420270328
178689_THYMUS_ILC1,Cortex,Mature T,733.1978132
178690_THYMUS_ILC1,Cortex,Mature T,502.6517645
178691_THYMUS_ILC1,Cortex,Mature T,433.27586
178692_THYMUS_ILC1,Cortex,Mature T,2278.72793
178693_THYMUS_ILC1,Cortex,Mature T,593.8806485
178694_THYMUS_ILC1,Cortex,Mature T,618.9824492
178695_THYMUS_ILC1,Cortex,Mature T,3729.046185
178696_THYMUS_ILC2,Cortex,Mature T,44.80397986
178697_THYMUS_ILC2,Cortex,Mature T,468.6847324
178698_THYMUS_ILC2,Cortex,Mature T,450.6755453
178699_THYMUS_ILC2,Cortex,Mature T,358.5082334
178700_THYMUS_ILC2,Cortex,Mature T,3209.762425
178701_THYMUS_ILC2,Cortex,Mature T,575.419126
178702_THYMUS_ILC2,Cortex,Mature T,323.0527984
178703_THYMUS_ILC2,Cortex,Mature T,4161.727191
178704_THYMUS_ILC3,Cortex,Mature T,8.77966712
178705_THYMUS_ILC3,Cortex,Mature T,429.5110167
178706_THYMUS_ILC3,Cortex,Mature T,464.7182756
178707_THYMUS_ILC3,Cortex,Mature T,364.1516644
178708_THYMUS_ILC3,Cortex,Mature T,2248.362574
178709_THYMUS_ILC3,Cortex,Mature T,345.6415968
178710_THYMUS_ILC3,Cortex,Mature T,629.7943872
178711_THYMUS_ILC3,Cortex,Mature T,2505.650521
178688_THYMUS_ILC1,Cortex,IL7R Non T,60.01356307
178689_THYMUS_ILC1,Cortex,IL7R Non T,3737.239302
178690_THYMUS_ILC1,Cortex,IL7R Non T,1228.763001
178691_THYMUS_ILC1,Cortex,IL7R Non T,4042.750407
178692_THYMUS_ILC1,Cortex,IL7R Non T,1760.593734
178693_THYMUS_ILC1,Cortex,IL7R Non T,1105.585682
178694_THYMUS_ILC1,Cortex,IL7R Non T,805.4224708
178695_THYMUS_ILC1,Cortex,IL7R Non T,3858.412221
178696_THYMUS_ILC2,Cortex,IL7R Non T,651.2058129
178697_THYMUS_ILC2,Cortex,IL7R Non T,1033.607109
178698_THYMUS_ILC2,Cortex,IL7R Non T,1616.86777
178699_THYMUS_ILC2,Cortex,IL7R Non T,1335.356199
178700_THYMUS_ILC2,Cortex,IL7R Non T,2314.973039
178701_THYMUS_ILC2,Cortex,IL7R Non T,1056.953494
178702_THYMUS_ILC2,Cortex,IL7R Non T,214.1778111
178703_THYMUS_ILC2,Cortex,IL7R Non T,3774.675323
178704_THYMUS_ILC3,Cortex,IL7R Non T,188.0007192
178705_THYMUS_ILC3,Cortex,IL7R Non T,939.9668109
178706_THYMUS_ILC3,Cortex,IL7R Non T,1551.14501
178707_THYMUS_ILC3,Cortex,IL7R Non T,2922.433587
178708_THYMUS_ILC3,Cortex,IL7R Non T,1540.068923
178709_THYMUS_ILC3,Cortex,IL7R Non T,726.5994589
178710_THYMUS_ILC3,Cortex,IL7R Non T,499.0449426
178711_THYMUS_ILC3,Cortex,IL7R Non T,4836.631751
178688_THYMUS_ILC1,Cortex,IL7R Immature T,18.3714989
178689_THYMUS_ILC1,Cortex,IL7R Immature T,2034.994433
178690_THYMUS_ILC1,Cortex,IL7R Immature T,2038.294564
178691_THYMUS_ILC1,Cortex,IL7R Immature T,3397.923622
178692_THYMUS_ILC1,Cortex,IL7R Immature T,1543.175845
178693_THYMUS_ILC1,Cortex,IL7R Immature T,3135.40018
178694_THYMUS_ILC1,Cortex,IL7R Immature T,3335.494008
178695_THYMUS_ILC1,Cortex,IL7R Immature T,402.4601144
178696_THYMUS_ILC2,Cortex,IL7R Immature T,219.2845193
178697_THYMUS_ILC2,Cortex,IL7R Immature T,672.1822585
178698_THYMUS_ILC2,Cortex,IL7R Immature T,2221.272643
178699_THYMUS_ILC2,Cortex,IL7R Immature T,4431.520931
178700_THYMUS_ILC2,Cortex,IL7R Immature T,1059.417447
178701_THYMUS_ILC2,Cortex,IL7R Immature T,3243.079527
178702_THYMUS_ILC2,Cortex,IL7R Immature T,2260.039528
178703_THYMUS_ILC2,Cortex,IL7R Immature T,776.6581974
178704_THYMUS_ILC3,Cortex,IL7R Immature T,80.08397752
178705_THYMUS_ILC3,Cortex,IL7R Immature T,688.8259181
178706_THYMUS_ILC3,Cortex,IL7R Immature T,2245.489189
178707_THYMUS_ILC3,Cortex,IL7R Immature T,2033.658305
178708_THYMUS_ILC3,Cortex,IL7R Immature T,1415.149239
178709_THYMUS_ILC3,Cortex,IL7R Immature T,2417.638164
178710_THYMUS_ILC3,Cortex,IL7R Immature T,2966.434809
178711_THYMUS_ILC3,Cortex,IL7R Immature T,847.2180675
178688_THYMUS_ILC1,Cortex,IL7R Mature T,1.347243252
178689_THYMUS_ILC1,Cortex,IL7R Mature T,674.1368483
178690_THYMUS_ILC1,Cortex,IL7R Mature T,397.9503953
178691_THYMUS_ILC1,Cortex,IL7R Mature T,409.6995488
178692_THYMUS_ILC1,Cortex,IL7R Mature T,2002.670361
178693_THYMUS_ILC1,Cortex,IL7R Mature T,488.7748548
178694_THYMUS_ILC1,Cortex,IL7R Mature T,586.0951865
178695_THYMUS_ILC1,Cortex,IL7R Mature T,3600.436043
178696_THYMUS_ILC2,Cortex,IL7R Mature T,22.15914993
178697_THYMUS_ILC2,Cortex,IL7R Mature T,317.8151258
178698_THYMUS_ILC2,Cortex,IL7R Mature T,387.5665165
178699_THYMUS_ILC2,Cortex,IL7R Mature T,322.403549
178700_THYMUS_ILC2,Cortex,IL7R Mature T,2712.484847
178701_THYMUS_ILC2,Cortex,IL7R Mature T,487.7563165
178702_THYMUS_ILC2,Cortex,IL7R Mature T,226.3003664
178703_THYMUS_ILC2,Cortex,IL7R Mature T,4113.090262
178704_THYMUS_ILC3,Cortex,IL7R Mature T,3.322860125
178705_THYMUS_ILC3,Cortex,IL7R Mature T,268.7702412
178706_THYMUS_ILC3,Cortex,IL7R Mature T,341.1418895
178707_THYMUS_ILC3,Cortex,IL7R Mature T,293.1359594
178708_THYMUS_ILC3,Cortex,IL7R Mature T,1902.364769
178709_THYMUS_ILC3,Cortex,IL7R Mature T,256.5879277
178710_THYMUS_ILC3,Cortex,IL7R Mature T,527.7057495
178711_THYMUS_ILC3,Cortex,IL7R Mature T,2470.881251
173926_SPLEEN_ILC1,White pulp,B,1136.938395
173927_SPLEEN_ILC1,White pulp,B,3895.652602
173928_SPLEEN_ILC1,White pulp,B,953.1291703
173929_SPLEEN_ILC1,White pulp,B,2992.349946
173930_SPLEEN_ILC1,White pulp,B,1018.387595
173931_SPLEEN_ILC1,White pulp,B,1062.49284
173932_SPLEEN_ILC1,White pulp,B,1215.120891
173933_SPLEEN_ILC1,White pulp,B,2073.923756
173934_SPLEEN_ILC2,White pulp,B,642.7935953
173935_SPLEEN_ILC2,White pulp,B,4636.885246
173936_SPLEEN_ILC2,White pulp,B,1224.441298
173937_SPLEEN_ILC2,White pulp,B,2306.45167
173938_SPLEEN_ILC2,White pulp,B,2020.145186
173939_SPLEEN_ILC2,White pulp,B,1333.999704
173940_SPLEEN_ILC2,White pulp,B,1936.162317
173941_SPLEEN_ILC2,White pulp,B,1843.733685
173942_SPLEEN_ILC3,White pulp,B,1124.489537
173943_SPLEEN_ILC3,White pulp,B,4918.923918
173944_SPLEEN_ILC3,White pulp,B,607.9772322
173945_SPLEEN_ILC3,White pulp,B,4055.92984
173946_SPLEEN_ILC3,White pulp,B,1480.620449
173947_SPLEEN_ILC3,White pulp,B,1242.085207
173948_SPLEEN_ILC3,White pulp,B,1768.355833
173949_SPLEEN_ILC3,White pulp,B,2565.513372
173926_SPLEEN_ILC1,White pulp,T,2333.863647
173927_SPLEEN_ILC1,White pulp,T,2193.108132
173928_SPLEEN_ILC1,White pulp,T,4451.310678
173929_SPLEEN_ILC1,White pulp,T,2335.242819
173930_SPLEEN_ILC1,White pulp,T,3294.468299
173931_SPLEEN_ILC1,White pulp,T,4898.978103
173932_SPLEEN_ILC1,White pulp,T,3454.902381
173933_SPLEEN_ILC1,White pulp,T,3608.596775
173934_SPLEEN_ILC2,White pulp,T,1761.48162
173935_SPLEEN_ILC2,White pulp,T,1683.770584
173936_SPLEEN_ILC2,White pulp,T,4253.867331
173937_SPLEEN_ILC2,White pulp,T,2587.933091
173938_SPLEEN_ILC2,White pulp,T,2968.658016
173939_SPLEEN_ILC2,White pulp,T,6122.820696
173940_SPLEEN_ILC2,White pulp,T,3488.152879
173941_SPLEEN_ILC2,White pulp,T,3770.65483
173942_SPLEEN_ILC3,White pulp,T,1495.096597
173943_SPLEEN_ILC3,White pulp,T,1713.00715
173944_SPLEEN_ILC3,White pulp,T,3509.239335
173945_SPLEEN_ILC3,White pulp,T,2559.880919
173946_SPLEEN_ILC3,White pulp,T,2666.337938
173947_SPLEEN_ILC3,White pulp,T,6175.166483
173948_SPLEEN_ILC3,White pulp,T,3604.293392
173949_SPLEEN_ILC3,White pulp,T,3352.802799
173926_SPLEEN_ILC1,White pulp,IL7R Non B/T,205.9704965
173927_SPLEEN_ILC1,White pulp,IL7R Non B/T,233.7715794
173928_SPLEEN_ILC1,White pulp,IL7R Non B/T,256.6052638
173929_SPLEEN_ILC1,White pulp,IL7R Non B/T,278.4782534
173930_SPLEEN_ILC1,White pulp,IL7R Non B/T,423.0512873
173931_SPLEEN_ILC1,White pulp,IL7R Non B/T,558.0714123
173932_SPLEEN_ILC1,White pulp,IL7R Non B/T,625.2066113
173933_SPLEEN_ILC1,White pulp,IL7R Non B/T,314.1406985
173934_SPLEEN_ILC2,White pulp,IL7R Non B/T,243.3946178
173935_SPLEEN_ILC2,White pulp,IL7R Non B/T,160.9486588
173936_SPLEEN_ILC2,White pulp,IL7R Non B/T,283.4925493
173937_SPLEEN_ILC2,White pulp,IL7R Non B/T,302.4216315
173938_SPLEEN_ILC2,White pulp,IL7R Non B/T,292.6551138
173939_SPLEEN_ILC2,White pulp,IL7R Non B/T,573.4272509
173940_SPLEEN_ILC2,White pulp,IL7R Non B/T,404.0267849
173941_SPLEEN_ILC2,White pulp,IL7R Non B/T,217.1088017
173942_SPLEEN_ILC3,White pulp,IL7R Non B/T,165.3796574
173943_SPLEEN_ILC3,White pulp,IL7R Non B/T,154.5801273
173944_SPLEEN_ILC3,White pulp,IL7R Non B/T,202.3583151
173945_SPLEEN_ILC3,White pulp,IL7R Non B/T,184.3328985
173946_SPLEEN_ILC3,White pulp,IL7R Non B/T,281.8368657
173947_SPLEEN_ILC3,White pulp,IL7R Non B/T,392.5997734
173948_SPLEEN_ILC3,White pulp,IL7R Non B/T,363.1130193
173949_SPLEEN_ILC3,White pulp,IL7R Non B/T,145.4133775
173926_SPLEEN_ILC1,Red pulp,B,244.5010931
173927_SPLEEN_ILC1,Red pulp,B,416.6509953
173928_SPLEEN_ILC1,Red pulp,B,107.6598176
173929_SPLEEN_ILC1,Red pulp,B,199.8269616
173930_SPLEEN_ILC1,Red pulp,B,200.8164429
173931_SPLEEN_ILC1,Red pulp,B,74.69804121
173932_SPLEEN_ILC1,Red pulp,B,287.6180131
173933_SPLEEN_ILC1,Red pulp,B,233.9075012
173934_SPLEEN_ILC2,Red pulp,B,188.3542432
173935_SPLEEN_ILC2,Red pulp,B,424.6863373
173936_SPLEEN_ILC2,Red pulp,B,131.6231488
173937_SPLEEN_ILC2,Red pulp,B,159.5891991
173938_SPLEEN_ILC2,Red pulp,B,194.2248868
173939_SPLEEN_ILC2,Red pulp,B,78.00691928
173940_SPLEEN_ILC2,Red pulp,B,292.3481114
173941_SPLEEN_ILC2,Red pulp,B,228.7719196
173942_SPLEEN_ILC3,Red pulp,B,268.8549877
173943_SPLEEN_ILC3,Red pulp,B,498.1516587
173944_SPLEEN_ILC3,Red pulp,B,80.66872232
173945_SPLEEN_ILC3,Red pulp,B,261.8487861
173946_SPLEEN_ILC3,Red pulp,B,266.8664984
173947_SPLEEN_ILC3,Red pulp,B,77.02790404
173948_SPLEEN_ILC3,Red pulp,B,347.349424
173949_SPLEEN_ILC3,Red pulp,B,333.8329565
173926_SPLEEN_ILC1,Red pulp,T,1673.893986
173927_SPLEEN_ILC1,Red pulp,T,2677.719696
173928_SPLEEN_ILC1,Red pulp,T,506.3492722
173929_SPLEEN_ILC1,Red pulp,T,513.3420867
173930_SPLEEN_ILC1,Red pulp,T,1242.306358
173931_SPLEEN_ILC1,Red pulp,T,776.5241379
173932_SPLEEN_ILC1,Red pulp,T,460.5563959
173933_SPLEEN_ILC1,Red pulp,T,870.0518092
173934_SPLEEN_ILC2,Red pulp,T,914.3759954
173935_SPLEEN_ILC2,Red pulp,T,2081.304406
173936_SPLEEN_ILC2,Red pulp,T,531.8971019
173937_SPLEEN_ILC2,Red pulp,T,641.8506203
173938_SPLEEN_ILC2,Red pulp,T,978.1289706
173939_SPLEEN_ILC2,Red pulp,T,1045.861819
173940_SPLEEN_ILC2,Red pulp,T,391.6348983
173941_SPLEEN_ILC2,Red pulp,T,983.5598832
173942_SPLEEN_ILC3,Red pulp,T,801.4396019
173943_SPLEEN_ILC3,Red pulp,T,2133.00331
173944_SPLEEN_ILC3,Red pulp,T,302.1911417
173945_SPLEEN_ILC3,Red pulp,T,683.0775301
173946_SPLEEN_ILC3,Red pulp,T,1090.465261
173947_SPLEEN_ILC3,Red pulp,T,912.2624783
173948_SPLEEN_ILC3,Red pulp,T,482.8761235
173949_SPLEEN_ILC3,Red pulp,T,1104.43021
173926_SPLEEN_ILC1,Red pulp,IL7R Non B/T,434.5813709
173927_SPLEEN_ILC1,Red pulp,IL7R Non B/T,474.4228424
173928_SPLEEN_ILC1,Red pulp,IL7R Non B/T,189.6816974
173929_SPLEEN_ILC1,Red pulp,IL7R Non B/T,312.5222611
173930_SPLEEN_ILC1,Red pulp,IL7R Non B/T,634.5065503
173931_SPLEEN_ILC1,Red pulp,IL7R Non B/T,375.9379191
173932_SPLEEN_ILC1,Red pulp,IL7R Non B/T,549.7402033
173933_SPLEEN_ILC1,Red pulp,IL7R Non B/T,557.5359547
173934_SPLEEN_ILC2,Red pulp,IL7R Non B/T,358.6305449
173935_SPLEEN_ILC2,Red pulp,IL7R Non B/T,392.2307216
173936_SPLEEN_ILC2,Red pulp,IL7R Non B/T,200.7965818
173937_SPLEEN_ILC2,Red pulp,IL7R Non B/T,228.4630143
173938_SPLEEN_ILC2,Red pulp,IL7R Non B/T,406.2360676
173939_SPLEEN_ILC2,Red pulp,IL7R Non B/T,335.5161654
173940_SPLEEN_ILC2,Red pulp,IL7R Non B/T,304.4618003
173941_SPLEEN_ILC2,Red pulp,IL7R Non B/T,259.8779296
173942_SPLEEN_ILC3,Red pulp,IL7R Non B/T,349.1205262
173943_SPLEEN_ILC3,Red pulp,IL7R Non B/T,382.0095585
